case,phase1_tree_max_depth_delta,phase3_shape_tree_max_depth_delta,phase3_full_tree_max_depth_delta,phase3_full_minus_phase1_tree_max_depth_delta,phase1_timing_clock_stage_avg_delta,phase3_shape_timing_clock_stage_avg_delta,phase3_full_timing_clock_stage_avg_delta,phase3_full_minus_phase1_timing_clock_stage_avg_delta,phase1_trunk_wire_length_ratio,phase3_shape_trunk_wire_length_ratio,phase3_full_trunk_wire_length_ratio,phase3_full_minus_phase1_trunk_wire_length_ratio,phase1_leaf_wire_length_ratio,phase3_shape_leaf_wire_length_ratio,phase3_full_leaf_wire_length_ratio,phase3_full_minus_phase1_leaf_wire_length_ratio,phase1_buffer_count_delta,phase3_shape_buffer_count_delta,phase3_full_buffer_count_delta,phase3_full_minus_phase1_buffer_count_delta,phase1_latency_avg_delta_ns,phase3_shape_latency_avg_delta_ns,phase3_full_latency_avg_delta_ns,phase3_full_minus_phase1_latency_avg_delta_ns,phase1_skew_max_delta_ns,phase3_shape_skew_max_delta_ns,phase3_full_skew_max_delta_ns,phase3_full_minus_phase1_skew_max_delta_ns,phase1_clock_total_cap_pf_ratio,phase3_shape_clock_total_cap_pf_ratio,phase3_full_clock_total_cap_pf_ratio,phase3_full_minus_phase1_clock_total_cap_pf_ratio,phase1_clock_power_mw_ratio,phase3_shape_clock_power_mw_ratio,phase3_full_clock_power_mw_ratio,phase3_full_minus_phase1_clock_power_mw_ratio
iwls2005__des,2.0,2.0,2.0,0.0,1.94175,1.94175,1.94175,0.0,1.54463,1.54463,1.54463,0.0,0.886409,0.886409,0.886409,0.0,49.0,49.0,49.0,0.0,0.082,0.082,0.082,0.0,0.032,0.032,0.032,0.0,1.03696,1.03696,1.03696,0.0,1.05517,1.05517,1.05517,0.0
iwls2005__spi,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,1.83484,1.83484,1.83484,0.0,0.889577,0.889577,0.889577,0.0,12.0,12.0,12.0,0.0,0.093,0.093,0.093,0.0,0.023,0.023,0.023,0.0,1.07711,1.07711,1.07711,0.0,1.09413,1.09413,1.09413,0.0
iwls2005__usb_funct,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.47631,1.47631,1.47631,0.0,1.47853,1.47853,1.47853,0.0,-7.0,-7.0,-7.0,0.0,0.083,0.083,0.083,0.0,0.038,0.038,0.038,0.0,1.19017,1.19017,1.19017,0.0,1.08723,1.08723,1.08723,0.0
iwls2005__vga_lcd,3.0,3.0,3.0,0.0,3.0,3.0,3.0,0.0,1.60159,1.60159,1.60159,0.0,0.888243,0.888243,0.888243,0.0,265.0,265.0,265.0,0.0,0.181,0.181,0.181,0.0,0.051,0.051,0.051,0.0,1.00462,1.00462,1.00462,0.0,1.0324,1.0324,1.0324,0.0
openroad__dynamic_node,2.0,1.0,1.0,-1.0,2.0,1.0,1.0,-1.0,1.54524,1.54879,1.54879,0.003549999999999942,0.885822,0.880139,0.880139,-0.005682999999999994,59.0,57.0,57.0,-2.0,0.132,0.046,0.046,-0.08600000000000001,0.018,0.015,0.015,-0.002999999999999999,1.04151,1.04981,1.04981,0.008299999999999974,1.05664,1.12535,1.12535,0.06871000000000005
openroad__gcd,2.0,2.0,2.0,0.0,1.77941,1.77941,1.77941,0.0,1.64823,1.64823,1.64823,0.0,1.07267,1.07267,1.07267,0.0,2.0,2.0,2.0,0.0,0.0515,0.0515,0.0515,0.0,0.026,0.026,0.026,0.0,1.19328,1.19328,1.19328,0.0,1.24716,1.24716,1.24716,0.0
openroad__uart,1.0,1.0,1.0,0.0,1.79618,1.79618,1.79618,0.0,1.86345,1.86345,1.86345,0.0,0.884639,0.884639,0.884639,0.0,3.0,3.0,3.0,0.0,0.0635,0.0635,0.0635,0.0,-0.015,-0.015,-0.015,0.0,1.09677,1.09677,1.09677,0.0,1.12006,1.12006,1.12006,0.0
