case,phase1_latency_avg_delta_ns,candidate_latency_avg_delta_ns,candidate_minus_phase1_latency_avg_delta_ns,phase1_skew_max_delta_ns,candidate_skew_max_delta_ns,candidate_minus_phase1_skew_max_delta_ns,phase1_tree_max_depth_delta,candidate_tree_max_depth_delta,candidate_minus_phase1_tree_max_depth_delta,phase1_timing_clock_stage_avg_delta,candidate_timing_clock_stage_avg_delta,candidate_minus_phase1_timing_clock_stage_avg_delta,phase1_timing_clock_stage_spread_delta,candidate_timing_clock_stage_spread_delta,candidate_minus_phase1_timing_clock_stage_spread_delta,phase1_trunk_wire_length_ratio,candidate_trunk_wire_length_ratio,candidate_minus_phase1_trunk_wire_length_ratio,phase1_leaf_wire_length_ratio,candidate_leaf_wire_length_ratio,candidate_minus_phase1_leaf_wire_length_ratio,phase1_clock_total_cap_ratio,candidate_clock_total_cap_ratio,candidate_minus_phase1_clock_total_cap_ratio,phase1_buffer_count_delta,candidate_buffer_count_delta,candidate_minus_phase1_buffer_count_delta,phase1_htree_selected_depth_minus_innovus_max_depth,candidate_htree_selected_depth_minus_innovus_max_depth,candidate_minus_phase1_htree_selected_depth_minus_innovus_max_depth,phase1_ecc_report_depth_minus_htree_selected_depth,candidate_ecc_report_depth_minus_htree_selected_depth,candidate_minus_phase1_ecc_report_depth_minus_htree_selected_depth,phase1_selected_depth_row_split_groups,candidate_selected_depth_row_split_groups,candidate_minus_phase1_selected_depth_row_split_groups,phase1_selected_depth_row_split_buffers,candidate_selected_depth_row_split_buffers,candidate_minus_phase1_selected_depth_row_split_buffers,phase1_selected_depth_row_split_local_depth,candidate_selected_depth_row_split_local_depth,candidate_minus_phase1_selected_depth_row_split_local_depth,phase1_first_hard_fail_load_count,candidate_first_hard_fail_load_count,candidate_minus_phase1_first_hard_fail_load_count,phase1_first_hard_fail_loads_over_two_level,candidate_first_hard_fail_loads_over_two_level,candidate_minus_phase1_first_hard_fail_loads_over_two_level,phase1_cluster_leaf_mean_distance,candidate_cluster_leaf_mean_distance,candidate_minus_phase1_cluster_leaf_mean_distance,phase1_cluster_leaf_max_distance,candidate_cluster_leaf_max_distance,candidate_minus_phase1_cluster_leaf_max_distance,phase1_cluster_count_minus_min_legal,candidate_cluster_count_minus_min_legal,candidate_minus_phase1_cluster_count_minus_min_legal,phase1_source_segment_selected_buffer_count,candidate_source_segment_selected_buffer_count,candidate_minus_phase1_source_segment_selected_buffer_count
iwls2005__ac97_ctrl,0.042,0.065,0.023,0.03,0.041,0.011,1,1,0,0.95855,0.94359,-0.01496,1,1,0,1.62535,1.57158,-0.05377,0.887438,0.893513,0.006075,1.0613,1.04455,-0.01675,65,55,-10,1,-2,-3,0,3,3,59,59,0,146,136,-10,,1,,17,,,1,,,7.09,7.34,0.25,24.09,29.82,5.73,0,0,0,0,0,0
iwls2005__des,0.082,0.0975,0.0155,0.032,0.047,0.015,2,1,-1,1.94175,0.8932,-1.04855,1,1,0,1.54463,1.50738,-0.03725,0.886409,0.88908,0.002671,1.03696,1.03373,-0.00323,49,38,-11,1,-2,-3,1,3,2,56,56,0,146,136,-10,,1,,20,,,4,,,7.84,8.42,0.58,30.29,31.46,1.17,0,0,0,1,0,-1
iwls2005__mem_ctrl,0.076,0.0515,-0.0245,0.01,0.004,-0.006,2,1,-1,2,1,-1,0,0,0,1.6277,1.58392,-0.04378,0.834147,0.832075,-0.002072,1.04178,1.00215,-0.03963,39,4,-35,1,-2,-3,1,3,2,32,16,-16,74,61,-13,,1,,19,,,3,,,7.35,9.5,2.15,16.27,20.88,4.61,0,0,0,0,0,0
iwls2005__pci,0.04,0.0285,-0.0115,0.03,0.035,0.005,1,1,0,0.15,0.21,0.06,1,1,0,1.6402,1.6887,0.0485,0.954286,0.957517,0.003231,1.1112,1.12733,0.01613,37,35,-2,1,-2,-3,0,3,3,39,39,0,89,87,-2,,1,,18,,,2,,,10.18,11.78,1.6,61.59,70.11,8.52,0,0,0,0,0,0
iwls2005__sasc,0.0375,0.0205,-0.017,0.033,0.027,-0.006,1,1,0,0.695,0.47,-0.225,1,1,0,1.78225,1.63129,-0.15096,0.773361,0.781865,0.008504,1.04348,1.07065,0.02717,3,4,1,-1,-1,0,2,2,0,3,0,-3,8,0,-8,,0,,18,,,2,,,7.03,7.57,0.54,17.53,21.48,3.95,0,0,0,0,0,0
iwls2005__simple_spi,0.048,0.049,0.001,0.009,0.017,0.008,1,1,0,1,1,0,0,0,0,1.64315,1.83839,0.19524,0.875191,0.895539,0.020348,1.05769,1.08173,0.02404,2,3,1,-1,-2,-1,2,3,1,4,4,0,9,10,1,,1,,17,,,1,,,7.37,7.06,-0.31,17.12,12.72,-4.4,0,0,0,0,0,0
iwls2005__spi,0.093,0.047,-0.046,0.023,0,-0.023,2,1,-1,2,1,-1,0,0,0,1.83484,1.65905,-0.17579,0.889577,0.902564,0.012987,1.07711,1.07711,0,12,2,-10,0,-1,-1,2,2,0,8,0,-8,18,0,-18,,0,,17,,,1,,,8.37,9.01,0.64,18,19.28,1.28,0,0,0,0,0,0
iwls2005__ss_pcm,0.041,0.0265,-0.0145,0.01,0.033,0.023,1,1,0,1,0.89873,-0.10127,0,1,1,1.70061,1.58303,-0.11758,0.842569,0.853275,0.010706,1.03409,1.06439,0.0303,2,3,1,-2,-2,0,3,3,0,2,3,1,7,6,-1,,1,,22,,,6,,,6.43,7.05,0.62,10.77,13.56,2.79,0,0,0,0,0,0
iwls2005__systemcaes,0.0645,0.051,-0.0135,0.01,0.017,0.007,1,1,0,1,1,0,0,0,0,1.54457,1.5334,-0.01117,0.945715,0.945491,-0.000224,1.07134,1.05597,-0.01537,12,10,-2,0,-2,-2,1,3,2,16,16,0,51,49,-2,,1,,19,,,3,,,8.97,9.67,0.7,23.87,25.56,1.69,0,0,0,0,0,0
iwls2005__systemcdes,0.0565,0.0505,-0.006,0.009,0.009,0,1,1,0,1,1,0,0,0,0,1.72237,1.62848,-0.09389,0.903591,0.923096,0.019505,1.08589,1.06748,-0.01841,4,2,-2,-1,-2,-1,2,3,1,4,4,0,16,14,-2,,1,,23,,,7,,,7.6,8.83,1.23,21.25,19.41,-1.84,1,1,0,0,0,0
iwls2005__tv80,0.0585,0.029,-0.0295,0.011,0.003,-0.008,1,1,0,1.465,1.345,-0.12,0,0,0,1.74999,1.63743,-0.11256,0.882076,0.889078,0.007002,1.08333,1.06667,-0.01666,9,8,-1,0,-1,-1,1,2,1,9,0,-9,19,0,-19,,0,,17,,,1,,,9.13,8.81,-0.32,22.64,28.5,5.86,0,0,0,0,0,0
iwls2005__usb_funct,0.083,0.134,0.051,0.038,0.035,-0.003,1,1,0,1,1,0,0,0,0,1.47631,1.51924,0.04293,1.47853,1.48659,0.00806,1.19017,1.21154,0.02137,-7,-8,-1,-1,-2,-1,2,3,1,4,4,0,16,15,-1,,1,,25,,,9,,,17.26,18.28,1.02,45.5,61.5,16,0,0,0,0,0,0
iwls2005__usb_phy,0.0345,0.0305,-0.004,-0.003,0.004,0.007,1,1,0,1,1,0,0,0,0,1.42081,1.49877,0.07796,0.933129,0.924893,-0.008236,1.01684,1.05724,0.0404,1,3,2,-2,-2,0,3,3,0,2,4,2,8,8,0,,1,,25,,,9,,,6.44,6.43,-0.01,10.39,11.16,0.77,0,0,0,0,0,0
