case,ecc_buffer_count,ecc_inverter_count,ecc_min_depth,ecc_max_depth,ecc_buffer_area_um2,ecc_top_wire_length_um,ecc_trunk_wire_length_um,ecc_leaf_wire_length_um,ecc_total_wire_length_um,ecc_top_total_cap_pf,ecc_trunk_total_cap_pf,ecc_leaf_total_cap_pf,ecc_total_cap_pf,ecc_trunk_slew_count,ecc_trunk_slew_avg_ns,ecc_trunk_slew_max_ns,ecc_leaf_slew_count,ecc_leaf_slew_avg_ns,ecc_leaf_slew_max_ns,ecc_max_nonleaf_fanout,ecc_avg_nonleaf_fanout,ecc_max_leaf_fanout,ecc_avg_leaf_fanout,ecc_avg_source_sink_length_um,ecc_max_source_sink_length_um,ecc_avg_source_sink_res_ohm,ecc_max_source_sink_res_ohm,ecc_dont_touch_nets,ecc_ideal_network_nets,ecc_buffer_hist,ecc_drive_hist,ecc_drive_avg,innovus_buffer_count,innovus_inverter_count,innovus_min_depth,innovus_max_depth,innovus_buffer_area_um2,innovus_top_wire_length_um,innovus_trunk_wire_length_um,innovus_leaf_wire_length_um,innovus_total_wire_length_um,innovus_top_total_cap_pf,innovus_trunk_total_cap_pf,innovus_leaf_total_cap_pf,innovus_total_cap_pf,innovus_trunk_slew_count,innovus_trunk_slew_avg_ns,innovus_trunk_slew_max_ns,innovus_leaf_slew_count,innovus_leaf_slew_avg_ns,innovus_leaf_slew_max_ns,innovus_max_nonleaf_fanout,innovus_avg_nonleaf_fanout,innovus_max_leaf_fanout,innovus_avg_leaf_fanout,innovus_avg_source_sink_length_um,innovus_max_source_sink_length_um,innovus_avg_source_sink_res_ohm,innovus_max_source_sink_res_ohm,innovus_dont_touch_nets,innovus_ideal_network_nets,innovus_buffer_hist,innovus_drive_hist,innovus_drive_avg,ecc_timing_path_count,ecc_launch_stage_avg,ecc_launch_stage_max,ecc_capture_stage_avg,ecc_capture_stage_max,ecc_clock_stage_avg,ecc_clock_stage_max,ecc_clock_stage_spread,ecc_path_clock_cell_hist,innovus_timing_path_count,innovus_launch_stage_avg,innovus_launch_stage_max,innovus_capture_stage_avg,innovus_capture_stage_max,innovus_clock_stage_avg,innovus_clock_stage_max,innovus_clock_stage_spread,innovus_path_clock_cell_hist,ecc_latency_report_total_ns,ecc_latency_report_pin,innovus_latency_report_total_ns,innovus_latency_report_pin,ecc_skew_report_skew_ns,ecc_skew_report_late_latency_ns,ecc_skew_report_early_latency_ns,ecc_skew_report_late_pin,ecc_skew_report_early_pin,innovus_skew_report_skew_ns,innovus_skew_report_late_latency_ns,innovus_skew_report_early_latency_ns,innovus_skew_report_late_pin,innovus_skew_report_early_pin,summary_ecc_skew_max_ns,summary_innovus_skew_max_ns,summary_pre_phase1_skew_max_ns,skew_max_delta_ns,skew_max_ratio,skew_max_ns_phase1_minus_pre,summary_ecc_latency_min_ns,summary_innovus_latency_min_ns,summary_pre_phase1_latency_min_ns,latency_min_delta_ns,latency_min_ratio,latency_min_ns_phase1_minus_pre,summary_ecc_latency_max_ns,summary_innovus_latency_max_ns,summary_pre_phase1_latency_max_ns,latency_max_delta_ns,latency_max_ratio,latency_max_ns_phase1_minus_pre,summary_ecc_latency_avg_ns,summary_innovus_latency_avg_ns,summary_pre_phase1_latency_avg_ns,latency_avg_delta_ns,latency_avg_ratio,latency_avg_ns_phase1_minus_pre,summary_ecc_buffer_count,summary_innovus_buffer_count,summary_pre_phase1_buffer_count,buffer_count_delta,buffer_count_ratio,buffer_count_phase1_minus_pre,summary_ecc_buffer_area_um2,summary_innovus_buffer_area_um2,summary_pre_phase1_buffer_area_um2,buffer_area_um2_delta,buffer_area_um2_ratio,buffer_area_um2_phase1_minus_pre,summary_ecc_clock_wire_length_um,summary_innovus_clock_wire_length_um,summary_pre_phase1_clock_wire_length_um,clock_wire_length_um_delta,clock_wire_length_um_ratio,clock_wire_length_um_phase1_minus_pre,summary_ecc_clock_total_cap_pf,summary_innovus_clock_total_cap_pf,summary_pre_phase1_clock_total_cap_pf,clock_total_cap_pf_delta,clock_total_cap_pf_ratio,clock_total_cap_pf_phase1_minus_pre,summary_ecc_clock_power_mw,summary_innovus_clock_power_mw,summary_pre_phase1_clock_power_mw,clock_power_mw_delta,clock_power_mw_ratio,clock_power_mw_phase1_minus_pre,summary_ecc_drv_max_cap_real_nets,summary_innovus_drv_max_cap_real_nets,summary_pre_phase1_drv_max_cap_real_nets,drv_max_cap_real_nets_delta,drv_max_cap_real_nets_ratio,drv_max_cap_real_nets_phase1_minus_pre,summary_ecc_drv_max_tran_real_nets,summary_innovus_drv_max_tran_real_nets,summary_pre_phase1_drv_max_tran_real_nets,drv_max_tran_real_nets_delta,drv_max_tran_real_nets_ratio,drv_max_tran_real_nets_phase1_minus_pre,latency_spread_ecc_ns,latency_spread_innovus_ns,latency_spread_delta_ns,tree_min_depth_delta,tree_max_depth_delta,tree_depth_span_delta,buffer_area_delta_um2,trunk_wire_length_delta_um,leaf_wire_length_delta_um,total_wire_length_delta_um,trunk_total_cap_delta_pf,leaf_total_cap_delta_pf,clock_total_cap_delta_pf,drive_avg_delta,timing_clock_stage_avg_delta,timing_clock_stage_spread_delta,trunk_wire_length_ratio,leaf_wire_length_ratio,total_wire_length_ratio,trunk_total_cap_ratio,leaf_total_cap_ratio,clock_total_cap_ratio,l3_classification,l3_max_abs_combined_delay_delta_ns,l3_max_abs_arrival_delta_ns,latency_classification,latency_reasons,skew_classification,skew_reasons,repair_recommendation
iwls2005__vga_lcd,6035,0,10,10,17329.2,0,55896,55300.6,111197,0,27.566,33.59,61.157,1810,0.037,0.14,4226,0.026,0.037,4,3.33425,4,3.99929,10.61,376.6,15.434,374.216,,,BUFX12H7L:2;BUFX16H7L:160;BUFX20H7L:21;BUFX8H7L:5852,8:5852;12:2;16:160;20:21,8.25518,5770,0,7,7,16290.4,0,34900.4,62258.4,97158.8,0,22.26,38.617,60.876,1455,0.04,0.124,4316,0.028,0.044,4,3.96564,4,3.91589,11.648,362.885,20.601,346.235,5771,5771,BUFX12H7L:99;BUFX16H7L:9;BUFX20H7L:1;BUFX8H7L:5661,8:5661;12:99;16:9;20:1,8.08319,100,10,10,10,10,10,10,0,BUFX12H7L:400;BUFX16H7L:400;BUFX20H7L:600;BUFX8H7L:600,100,7,7,7,7,7,7,0,BUFX12H7L:353;BUFX16H7L:191;BUFX20H7L:176;BUFX8H7L:680,0.708,clut_mem/clut_mem/mem_reg[125][12]/CK,0.502,clut_mem/clut_mem/mem_reg[182][9]/CK,0.116,0.708,0.592,clut_mem/clut_mem/mem_reg[71][14]/CK,pixel_generator/color_proc/g_reg[6]/CK,0.057,0.481,0.424,pixel_generator/color_proc/DataBuffer_reg[26]/CK,clut_mem/clut_mem/mem_reg[92][10]/CK,0.12,0.069,0.084,0.051,1.73913,0.036,0.577,0.422,0.426,0.155,1.3673,0.151,0.714,0.505,0.525,0.209,1.41386,0.189,0.6445,0.4635,0.4755,0.181,1.39051,0.169,6035,5770,6023,265,1.04593,12,17329.2,16290.4,17439,1038.8,1.06377,-109.76,111197,97158.8,110947,14037.8,1.14448,249.235,61.157,60.876,61.115,0.281,1.00462,0.042,16.89,16.36,16.95,0.53,1.0324,-0.06,3,6,3,-3,0.5,0,3,3,1,0,1,2,0.137,0.083,0.054,3,3,0,1038.8,20995.6,-6957.8,14038.2,5.306,-5.027,0.281,0.17199,3,0,1.60159,0.888243,1.14449,1.23836,0.869824,1.00462,cumulative_arrival_gap,0.0237523,0.0783148,ecc_latency_late,deeper_tree_or_stage_count;longer_or_heavier_source_trunk,ecc_skew_worse,latency_spread_larger;trunk_leaf_length_imbalance;trunk_leaf_cap_imbalance,tree_level_candidate_scoring_or_topology_depth_balance;source_trunk_buffering_or_sizing;rc_drv_aware_selection
iwls2005__wb_conmax,291,0,5,6,878.64,0,3473.75,3085.73,6559.48,0,1.859,1.828,3.687,98,0.038,0.086,194,0.029,0.129,4,2.96939,4,3.96907,13.791,257.8,19.819,249.678,,,BUFX12H7L:32;BUFX16H7L:8;BUFX20H7L:3;BUFX8H7L:248,8:248;12:32;16:8;20:3,8.78351,265,0,5,5,767.76,0,2220,3400.2,5620.2,0,1.398,2.169,3.567,69,0.044,0.124,197,0.032,0.054,4,3.84058,4,3.90863,15.413,210.6,24.163,212.492,266,266,BUFX12H7L:12;BUFX16H7L:4;BUFX20H7L:1;BUFX8H7L:248,8:248;12:12;16:4;20:1,8.34717,100,6,6,5.87,6,5.935,6,1,BUFX12H7L:200;BUFX16H7L:200;BUFX20H7L:400;BUFX8H7L:387,100,5,5,5,5,5,5,0,BUFX12H7L:193;BUFX16H7L:366;BUFX20H7L:5;BUFX8H7L:436,0.359,rf/rf_ack_reg/CK,0.310,rf/rf_dout_reg[8]/CK,0.07,0.339,0.269,rf/conf11_reg[7]/CK,s11/msel/arb1/state_reg[0]/CK,0.033,0.302,0.269,rf/rf_we_reg/CK,rf/conf12_reg[12]/CK,0.089,0.036,0.068,0.053,2.47222,0.021,0.264,0.266,0.259,-0.002,0.992481,0.005,0.361,0.312,0.337,0.049,1.15705,0.024,0.3055,0.29,0.2975,0.0155,1.05345,0.008,291,265,291,26,1.09811,0,878.64,767.76,887.6,110.88,1.14442,-8.96,6559.48,5620.2,6509.97,939.28,1.16713,49.515,3.687,3.567,3.645,0.12,1.03364,0.042,0.9306,0.8668,0.9343,0.0638,1.0736,-0.0037,3,3,9,0,1,-6,2,2,7,0,1,-5,0.097,0.046,0.051,0,1,1,110.88,1253.75,-314.47,939.28,0.461,-0.341,0.12,0.43634,0.935,1,1.56475,0.907514,1.16713,1.32976,0.842785,1.03364,cumulative_arrival_gap,0.0300619,0.0747031,latency_near_innovus,latency delta is below the Phase 2 triage threshold,ecc_skew_worse,latency_spread_larger;depth_or_stage_spread_larger;trunk_leaf_length_imbalance;trunk_leaf_cap_imbalance,tree_level_candidate_scoring_or_topology_depth_balance;rc_drv_aware_selection
iwls2005__wb_dma,187,0,5,5,576.24,0,1892.5,1763.15,3655.65,0,0.859,1.039,1.897,57,0.033,0.058,131,0.026,0.036,4,3.2807,4,3.99237,11.443,121.285,16.841,123.277,,,BUFX16H7L:16;BUFX20H7L:5;BUFX8H7L:166,8:166;16:16;20:5,9.00535,176,0,4,4,506.24,0,1069.8,2108.4,3178.2,0,0.609,1.135,1.744,46,0.032,0.046,131,0.027,0.037,4,3.82609,4,3.99237,12.245,125.885,21.201,137.115,177,177,BUFX12H7L:8;BUFX16H7L:2;BUFX8H7L:166,8:166;12:8;16:2,8.27273,100,5,5,5,5,5,5,0,BUFX16H7L:200;BUFX20H7L:400;BUFX8H7L:400,100,4,4,4,4,4,4,0,BUFX12H7L:195;BUFX16H7L:158;BUFX8H7L:447,0.232,u2/write_hold_r_reg/CK,0.177,u2/adr1_cnt_reg[23]/CK,0.038,0.232,0.194,u2/state_reg[3]/CK,u2/mast0_adr_reg[12]/CK,0.035,0.175,0.14,u2/adr0_cnt_reg[24]/CK,u2/mast0_adr_reg[26]/CK,0.033,0.03,0.033,0.003,1.1,0,0.191,0.139,0.191,0.052,1.3741,0,0.233,0.177,0.233,0.056,1.31638,0,0.211,0.1575,0.211,0.0535,1.33968,0,187,176,187,11,1.0625,0,576.24,506.24,576.24,70,1.13827,0,3655.65,3178.2,3655.65,477.45,1.15023,0,1.897,1.744,1.897,0.153,1.08773,0,0.5399,0.4833,0.5399,0.0566,1.11711,0,0,1,0,-1,0,0,0,0,0,0,,0,0.042,0.038,0.004,1,1,0,70,822.7,-345.25,477.45,0.25,-0.096,0.153,0.73262,1,0,1.76902,0.83625,1.15023,1.41051,0.915419,1.08773,l3_aligned_under_50ps,0.0065178,0.0171903,ecc_latency_late,deeper_tree_or_stage_count;longer_or_heavier_source_trunk,skew_near_innovus,skew delta is below the Phase 2 triage threshold,tree_level_candidate_scoring_or_topology_depth_balance;source_trunk_buffering_or_sizing
openroad__dynamic_node,826,0,7,7,2338.56,0,7974.38,8004.82,15979.2,0,3.713,4.566,8.28,257,0.037,0.091,570,0.026,0.052,4,3.21401,4,4,10.934,242.4,15.801,234.056,,,BUFX12H7L:23;BUFX8H7L:803,8:803;12:23,8.11138,767,0,5,5,2185.68,0,5160.6,9036.6,14197.2,0,2.915,5.035,7.95,193,0.038,0.072,575,0.027,0.05,4,3.97409,4,3.96522,12.84,242.885,21.772,239.057,768,768,BUFX12H7L:26;BUFX16H7L:4;BUFX8H7L:737,8:737;12:26;16:4,8.17731,100,7,7,7,7,7,7,0,BUFX12H7L:800;BUFX8H7L:600,100,5,5,5,5,5,5,0,BUFX12H7L:202;BUFX16H7L:317;BUFX8H7L:481,0.417,proc_input/NIB/storage_data_f_reg[8][6]/CK,0.268,west_input/NIB/storage_data_f_reg[0][38]/CK,0.067,0.417,0.351,west_input/NIB/storage_data_f_reg[0][31]/CK,west_input/NIB/elements_in_array_f_reg[0]/CK,0.052,0.268,0.216,west_input/NIB/storage_data_f_reg[3][38]/CK,south_input/NIB/yummy_out_f_reg/CK,0.062,0.044,0.045,0.018,1.40909,0.017,0.344,0.213,0.259,0.131,1.61502,0.085,0.419,0.269,0.316,0.15,1.55762,0.103,0.372,0.24,0.282,0.132,1.55,0.09,826,767,824,59,1.07692,2,2338.56,2185.68,2449.44,152.88,1.06995,-110.88,15979.2,14197.2,15967.8,1781.99,1.12552,11.44,8.28,7.95,8.063,0.33,1.04151,0.217,2.276,2.154,2.308,0.122,1.05664,-0.032,0,0,0,0,,0,0,0,0,0,,0,0.075,0.056,0.019,2,2,0,152.88,2813.78,-1031.78,1782,0.798,-0.469,0.33,-0.06593,2,0,1.54524,0.885822,1.12552,1.27376,0.906852,1.04151,l3_aligned_under_50ps,0.0059704,0.0164184,ecc_latency_late,deeper_tree_or_stage_count;longer_or_heavier_source_trunk,ecc_skew_worse,latency_spread_larger;trunk_leaf_length_imbalance;trunk_leaf_cap_imbalance,tree_level_candidate_scoring_or_topology_depth_balance;source_trunk_buffering_or_sizing;rc_drv_aware_selection
openroad__ethmac,3635,0,7,8,10573.4,0,34122.6,34780.5,68903.2,0,16.366,20.304,36.671,1131,0.034,0.13,2505,0.026,0.053,4,3.21397,4,3.9988,10.801,420,15.641,378.688,,,BUFX16H7L:160;BUFX20H7L:11;BUFX8H7L:3464,8:3464;16:160;20:11,8.38845,3399,0,7,7,9737.84,0,21382.6,38401,59783.6,0,13.102,22.781,35.882,860,0.038,0.09,2540,0.028,0.041,4,3.95233,4,3.9437,12.274,221.4,21.199,207.357,3400,3400,BUFX12H7L:119;BUFX16H7L:36;BUFX20H7L:2;BUFX8H7L:3242,8:3242;12:119;16:36;20:2,8.23183,100,7,7,7,7,7,7,0,BUFX16H7L:400;BUFX20H7L:600;BUFX8H7L:400,100,7,7,7,7,7,7,0,BUFX12H7L:177;BUFX16H7L:750;BUFX20H7L:33;BUFX8H7L:440,0.475,wishbone/bd_ram/mem3_reg[219][29]/CK,0.434,wishbone/bd_ram/mem3_reg[141][26]/CK,0.099,0.475,0.376,wishbone/bd_ram/mem3_reg[219][29]/CK,temp_wb_dat_o_reg_reg[29]/CK,0.053,0.429,0.376,wishbone/bd_ram/mem0_reg[74][7]/CK,wishbone/RxPointerMSB_reg[7]/CK,0.09,0.057,0.103,0.033,1.57895,-0.013,0.374,0.365,0.352,0.009,1.02466,0.022,0.478,0.437,0.469,0.041,1.09382,0.009,0.423,0.4035,0.4065,0.0195,1.04833,0.0165,3635,3399,3635,236,1.06943,0,10573.4,9737.84,11182.6,835.52,1.0858,-609.28,68903.2,59783.6,69051.7,9119.57,1.15254,-148.518,36.671,35.882,37.27,0.789,1.02199,-0.599,10.21,9.715,10.64,0.495,1.05095,-0.43,3,6,6,-3,0.5,-3,2,2,4,0,1,-2,0.104,0.072,0.032,0,1,1,835.56,12740,-3620.5,9119.6,3.264,-2.477,0.789,0.15662,0,0,1.59581,0.905719,1.15254,1.24912,0.891269,1.02199,l3_aligned_under_50ps,0.0175887,0.036733,latency_near_innovus,latency delta is below the Phase 2 triage threshold,ecc_skew_worse,latency_spread_larger;depth_or_stage_spread_larger;trunk_leaf_length_imbalance;trunk_leaf_cap_imbalance,tree_level_candidate_scoring_or_topology_depth_balance;rc_drv_aware_selection
openroad__fifo,374,0,6,6,1111.04,0,3300.72,3423.39,6724.1,0,1.601,1.988,3.589,113,0.033,0.059,262,0.025,0.033,4,3.30973,4,4,10.326,107.8,15.111,118.527,,,BUFX12H7L:32;BUFX16H7L:8;BUFX20H7L:3;BUFX8H7L:331,8:331;12:32;16:8;20:3,8.60963,353,0,4,5,1025.36,0,1870.4,4020.4,5890.8,0,1.169,2.184,3.353,91,0.032,0.047,263,0.026,0.039,4,3.87912,4,3.98479,11.128,98.4,20.141,97.437,354,354,BUFX12H7L:18;BUFX16H7L:6;BUFX20H7L:1;BUFX8H7L:328,8:328;12:18;16:6;20:1,8.37394,100,6,6,6,6,6,6,0,BUFX12H7L:200;BUFX16H7L:200;BUFX20H7L:400;BUFX8H7L:400,100,5,5,4.48,5,4.74,5,1,BUFX12H7L:299;BUFX16H7L:172;BUFX20H7L:1;BUFX8H7L:476,0.262,fifo_instance/fifomem/mem_reg[7][6]/CK,0.200,fifo_instance/fifomem/mem_reg[31][7]/CK,0.03,0.259,0.229,fifo_instance/wptr_full/wfull_reg/CK,fifo_instance/fifomem/mem_reg[28][20]/CK,0.046,0.191,0.145,fifo_instance/wptr_full/wbin_reg[2]/CK,fifo_instance/fifomem/mem_reg[14][5]/CK,0.026,0.047,0.025,-0.021,0.553191,0.001,0.227,0.145,0.224,0.082,1.56552,0.003,0.263,0.2,0.26,0.063,1.315,0.003,0.245,0.1735,0.2425,0.0715,1.4121,0.0025,374,353,374,21,1.05949,0,1111.04,1025.36,1120,85.68,1.08356,-8.96,6724.1,5890.8,6757.75,833.305,1.14146,-33.645,3.589,3.353,3.606,0.236,1.07038,-0.017,1.035,0.9565,1.044,0.0785,1.08207,-0.009,0,0,0,0,,0,0,0,0,0,,0,0.036,0.055,-0.019,2,1,-1,85.68,1430.32,-597.01,833.3,0.432,-0.196,0.236,0.23569,1.26,-1,1.76471,0.851505,1.14146,1.36955,0.910256,1.07038,l3_aligned_under_50ps,0.0061574,0.020872,ecc_latency_late,deeper_tree_or_stage_count;longer_or_heavier_source_trunk,ecc_skew_better,trunk_leaf_length_imbalance;trunk_leaf_cap_imbalance,tree_level_candidate_scoring_or_topology_depth_balance;source_trunk_buffering_or_sizing;rc_drv_aware_selection
openroad__gcd,14,0,3,4,49.28,0,149,135.8,284.8,0,0.074,0.068,0.142,6,0.019,0.029,9,0.025,0.027,4,2.33333,4,3.77778,11.406,40.8,15.815,44.791,,,BUFX20H7L:3;BUFX8H7L:11,8:11;20:3,10.5714,12,0,2,2,40.32,0,90.4,126.6,217,0,0.051,0.069,0.119,4,0.016,0.022,9,0.025,0.03,3,3,4,3.77778,13.32,30,22.173,39.006,13,13,BUFX16H7L:3;BUFX8H7L:9,8:9;16:3,10,34,4,4,3.55882,4,3.77941,4,1,BUFX20H7L:136;BUFX8H7L:121,34,2,2,2,2,2,2,0,BUFX16H7L:68;BUFX8H7L:68,0.131,dpath/b_reg/out_reg[15]/CK,0.069,dpath/a_reg/out_reg[13]/CK,0.038,0.131,0.091,dpath/b_reg/out_reg[1]/CK,dpath/a_reg/out_reg[7]/CK,0.012,0.069,0.056,dpath/b_reg/out_reg[14]/CK,dpath/b_reg/out_reg[5]/CK,0.035,0.009,0.021,0.026,3.88889,0.014,0.091,0.057,0.111,0.034,1.59649,-0.02,0.131,0.068,0.138,0.063,1.92647,-0.007,0.113,0.0615,0.126,0.0515,1.8374,-0.013,14,12,13,2,1.16667,1,49.28,40.32,36.4,8.96,1.22222,12.88,284.8,217,278.8,67.8,1.31244,6,0.142,0.119,0.13,0.023,1.19328,0.012,0.04178,0.0335,0.03445,0.00828,1.24716,0.00733,0,0,0,0,,0,0,0,0,0,,0,0.04,0.011,0.029,1,2,1,8.96,58.6,9.2,67.8,0.023,-0.001,0.023,0.5714,1.77941,1,1.64823,1.07267,1.31244,1.45098,0.985507,1.19328,l3_aligned_under_50ps,0.0041447,0.00884814,ecc_latency_late,deeper_tree_or_stage_count;longer_or_heavier_source_trunk;higher_clock_cap_load,ecc_skew_worse,latency_spread_larger;depth_or_stage_spread_larger;trunk_leaf_length_imbalance;trunk_leaf_cap_imbalance,tree_level_candidate_scoring_or_topology_depth_balance;source_trunk_buffering_or_sizing;rc_drv_aware_selection
openroad__jpeg,1581,0,6,7,4712.4,0,18206.6,17438,35644.6,0,7.348,9.022,16.37,450,0.036,0.088,1132,0.026,0.052,4,3.51333,4,3.9947,12.995,387.6,18.086,366.767,,,BUFX20H7L:85;BUFX8H7L:1496,8:1496;20:85,8.64516,1573,0,6,6,4572.4,0,11470,18270.6,29740.6,0,6.039,9.644,15.683,407,0.035,0.068,1167,0.026,0.054,4,3.86486,4,3.87489,13.608,360.2,22.47,336.72,1574,1574,BUFX12H7L:97;BUFX16H7L:22;BUFX20H7L:3;BUFX8H7L:1451,8:1451;12:97;16:22;20:3,8.38144,100,6,6,6.35,7,6.175,7,1,BUFX20H7L:800;BUFX8H7L:435,100,6,6,6,6,6,6,0,BUFX12H7L:367;BUFX16H7L:367;BUFX20H7L:20;BUFX8H7L:446,0.382,fdct_zigzag/dct_mod/dct_block_2/dct_unit_6/macu/result_reg[20]/CK,0.336,fdct_zigzag/dct_mod/dct_block_1/dct_unit_7/macu/result_reg[2]/CK,0.071,0.382,0.312,fdct_zigzag/zigzag_mod/sresult_reg[26][10]/CK,fdct_zigzag/zigzag_mod/sresult_reg[27][10]/CK,0.053,0.334,0.28,fdct_zigzag/dct_mod/dct_block_3/dct_unit_2/macu/mult_res_reg[0]/CK,fdct_zigzag/dct_mod/dct_block_3/dct_unit_2/macu/result_reg[19]/CK,0.064,0.048,0.063,0.016,1.33333,0.001,0.309,0.277,0.303,0.032,1.11552,0.006,0.387,0.336,0.379,0.051,1.15179,0.008,0.3405,0.3035,0.3355,0.037,1.12191,0.005,1581,1573,1581,8,1.00509,0,4712.4,4572.4,4927.44,140,1.03062,-215.04,35644.6,29740.6,35556,5903.98,1.19852,88.534,16.37,15.683,16.546,0.687,1.04381,-0.176,4.565,4.386,4.705,0.179,1.04081,-0.14,0,1,0,-1,0,0,0,0,0,0,,0,0.078,0.059,0.019,0,1,1,140,6736.6,-832.6,5904,1.309,-0.622,0.687,0.26372,0.175,1,1.58732,0.95443,1.19852,1.21676,0.935504,1.04381,l3_aligned_under_50ps,0.0103451,0.0409949,ecc_latency_late,deeper_tree_or_stage_count;longer_or_heavier_source_trunk,ecc_skew_worse,latency_spread_larger;depth_or_stage_spread_larger;trunk_leaf_length_imbalance;trunk_leaf_cap_imbalance,tree_level_candidate_scoring_or_topology_depth_balance;source_trunk_buffering_or_sizing;rc_drv_aware_selection
openroad__spi,10,0,3,3,28,0,78.4,76.8,155.2,0,0.036,0.043,0.079,4,0.023,0.038,7,0.022,0.026,4,2.5,4,3.57143,9.364,29.2,13.31,34.189,,,BUFX8H7L:10,8:10,8,9,0,2,2,28.56,0,52.2,77.4,129.6,0,0.032,0.041,0.074,3,0.015,0.021,7,0.021,0.023,4,3,4,3.57143,9.177,25.885,18.366,35.898,10,10,BUFX12H7L:1;BUFX16H7L:1;BUFX8H7L:7,8:7;12:1;16:1,9.33333,25,3,3,3,3,3,3,0,BUFX8H7L:141,25,2,2,2,2,2,2,0,BUFX12H7L:30;BUFX16H7L:17;BUFX8H7L:47,0.109,sck_q_reg/CK,0.062,dout_q_reg[6]/CK,0.012,0.109,0.096,sck_q_reg/CK,dout_q_reg[4]/CK,0.005,0.062,0.057,data_q_reg[2]/CK,data_q_reg[3]/CK,0.009,0.004,0.009,0.005,2.25,0,0.096,0.056,0.096,0.04,1.71429,0,0.109,0.063,0.109,0.046,1.73016,0,0.1035,0.06,0.1035,0.0435,1.725,0,10,9,10,1,1.11111,0,28,28.56,28,-0.56,0.980392,0,155.2,129.6,155.2,25.6,1.19753,0,0.079,0.074,0.079,0.005,1.06757,0,0.02351,0.02232,0.02351,0.00119,1.05332,0,0,0,0,0,,0,0,0,0,0,,0,0.013,0.007,0.006,1,1,0,-0.56,26.2,-0.6,25.6,0.004,0.002,0.005,-1.33333,1,0,1.50192,0.992248,1.19753,1.125,1.04878,1.06757,l3_aligned_under_50ps,0.004146,0.00706323,ecc_latency_late,deeper_tree_or_stage_count;longer_or_heavier_source_trunk;distribution_issue_not_total_buffer_count,skew_near_innovus,skew delta is below the Phase 2 triage threshold,tree_level_candidate_scoring_or_topology_depth_balance;source_trunk_buffering_or_sizing;buffer_distribution_not_count_repair
openroad__uart,29,0,4,4,84.56,0,278.4,284.5,562.9,0,0.122,0.151,0.272,10,0.029,0.043,20,0.025,0.03,4,2.9,4,3.95,11.938,50.4,16.79,53.566,,,BUFX12H7L:3;BUFX8H7L:26,8:26;12:3,8.41379,26,0,2,3,77.28,0,149.4,321.6,471,0,0.086,0.162,0.248,7,0.024,0.036,20,0.026,0.029,4,3.71429,4,3.95,13.501,60.885,22.656,67.705,27,27,BUFX12H7L:2;BUFX16H7L:1;BUFX8H7L:23,8:23;12:2;16:1,8.61538,79,4,4,4,4,4,4,0,BUFX12H7L:314;BUFX8H7L:314,79,2,2,2.40506,3,2.20382,3,1,BUFX12H7L:32;BUFX16H7L:32;BUFX8H7L:282,0.153,uart_tx_inst/prescale_reg_reg[11]/CK,0.097,uart_rx_inst/m_axis_tdata_reg_reg[7]/CK,0.015,0.153,0.136,uart_rx_inst/prescale_reg_reg[13]/CK,uart_rx_inst/m_axis_tdata_reg_reg[4]/CK,0.029,0.097,0.067,uart_tx_inst/prescale_reg_reg[18]/CK,uart_tx_inst/data_reg_reg[3]/CK,0.01,0.025,0.048,-0.015,0.4,-0.038,0.135,0.067,0.106,0.068,2.01493,0.029,0.153,0.097,0.159,0.056,1.57732,-0.006,0.145,0.0815,0.1345,0.0635,1.77914,0.0105,29,26,29,3,1.11538,0,84.56,77.28,92.4,7.28,1.0942,-7.84,562.9,471,570.88,91.9,1.19512,-7.98,0.272,0.248,0.278,0.024,1.09677,-0.006,0.07715,0.06888,0.08179,0.00827,1.12006,-0.00464,0,0,0,0,,0,0,0,0,0,,0,0.018,0.03,-0.012,2,1,-1,7.28,129,-37.1,91.9,0.036,-0.011,0.024,-0.20159,1.79618,-1,1.86345,0.884639,1.19512,1.4186,0.932099,1.09677,l3_aligned_under_50ps,0.0066716,0.0139623,ecc_latency_late,deeper_tree_or_stage_count;longer_or_heavier_source_trunk,ecc_skew_better,trunk_leaf_length_imbalance;trunk_leaf_cap_imbalance,tree_level_candidate_scoring_or_topology_depth_balance;source_trunk_buffering_or_sizing;rc_drv_aware_selection
