eval,target,case,rows,ref_mean_ps,pred_mean_ps,mean_error_ps,mae_ps,mse_ps2,rmse_ps,mse_ns2,rmse_ns,p95_abs_error_ps,p99_abs_error_ps,max_abs_error_ps,wmape_pct,smape_pct,mape_pct_ref_gt_1fs,r2,pearson_r,within_5ps_pct,within_10ps_pct,within_20ps_pct,within_50ps_pct
detail_postroute_si,row_delay,iwls2005__ac97_ctrl,1250,40.8952,44.0772854,3.18208543,3.68667567,23.204508,4.81710577,2.3204508e-05,0.00481710577,8.5326,8.9866,8.9866,9.01493493,23.2691903,8.34035243,0.883095189,0.984700928,67.28,100,100,100
detail_postroute_si,row_delay,iwls2005__des,815,38.6441718,42.3783636,3.73419184,3.80191307,27.7847459,5.27112378,2.77847459e-05,0.00527112378,10.602,10.602,10.602,9.83825734,32.1477612,9.28338697,0.894390945,0.986198428,69.3251534,83.0674847,100,100
detail_postroute_si,row_delay,iwls2005__mem_ctrl,1300,38.37,39.586406,1.216406,2.35027093,8.46895706,2.91014726,8.46895706e-06,0.00291014726,4.9674,7.1925,7.1925,6.12528258,21.0909807,6.27381747,0.947659617,0.982941719,95.0769231,100,100,100
detail_postroute_si,row_delay,iwls2005__pci,1043,49.7286673,54.0171042,4.28843693,4.42665362,33.9248213,5.8245018,3.39248213e-05,0.0058245018,12.8234,12.8234,12.8234,8.90161321,10.4544747,8.62268579,0.673842531,0.956998437,70.8533078,90.316395,100,100
detail_postroute_si,row_delay,iwls2005__sasc,839,33.0715137,34.2119117,1.14039794,1.49773954,3.38898116,1.84091857,3.38898116e-06,0.00184091857,3.5115,4.5329,4.8578,4.52879041,27.8242116,4.6536331,0.978176671,0.993757131,100,100,100,100
detail_postroute_si,row_delay,iwls2005__simple_spi,900,33.5877778,33.9966911,0.408913329,1.26629177,2.75663254,1.66031098,2.75663254e-06,0.00166031098,3.317135,4.4807,5.204,3.77009691,25.5359776,3.7847767,0.981417361,0.991683614,99.5555556,100,100,100
detail_postroute_si,row_delay,iwls2005__spi,1100,37.1963636,38.3125184,1.11615473,2.136186,7.12519793,2.66930664,7.12519793e-06,0.00266930664,4.4247,5.7733,7.3203,5.74299687,23.2517905,5.72954536,0.953439924,0.982162728,96.3636364,100,100,100
detail_postroute_si,row_delay,iwls2005__ss_pcm,723,31.5532503,32.137483,0.584232671,1.97265591,6.11208039,2.4722622,6.11208039e-06,0.0024722622,4.5484,5.617084,5.6323,6.25183107,29.7776448,6.54243348,0.959381152,0.983843963,96.6804979,100,100,100
detail_postroute_si,row_delay,iwls2005__systemcaes,1100,44.9918182,44.9432362,-0.0485820045,1.95665581,7.40378796,2.72099025,7.40378796e-06,0.00272099025,5.6569,5.6569,7.3211,4.34891474,21.910359,4.13901692,0.97278355,0.986375911,90.2727273,100,100,100
detail_postroute_si,row_delay,iwls2005__systemcdes,900,38.0733333,38.7993227,0.725989329,1.69009911,4.32324114,2.07924052,4.32324114e-06,0.00207924052,3.914845,3.9771,4.5437,4.43906262,26.1890785,4.5605796,0.9775041,0.990454604,100,100,100,100
detail_postroute_si,row_delay,iwls2005__tv80,1076,39.6133829,39.7130755,0.0996926106,1.04306826,2.51517135,1.58592918,2.51517135e-06,0.00158592918,3.6798,5.0419,5.4995,2.63312089,21.0805248,2.80721403,0.987980288,0.994236613,98.4200743,100,100,100
detail_postroute_si,row_delay,iwls2005__usb_funct,640,46.8515625,49.8583848,3.00682225,3.66025975,27.333336,5.2281293,2.7333336e-05,0.0052281293,10.3529,11.122,14.5695,7.81246037,37.617226,8.03779436,0.941810867,0.983088939,71.5625,82.65625,100,100
detail_postroute_si,row_delay,iwls2005__usb_phy,870,31.3551724,32.4125046,1.05733217,1.85602688,5.46305414,2.33731772,5.46305414e-06,0.00233731772,4.63395,5.3331,5.3331,5.9193643,27.6827148,5.96642386,0.961772012,0.988176837,98.1609195,100,100,100
detail_postroute_si,row_delay,iwls2005__vga_lcd,2100,61.0680952,59.6529273,-1.41516792,4.59458874,44.813135,6.69426135,4.4813135e-05,0.00669426135,14.6154,23.7523,23.7523,7.52371385,16.851432,7.49946095,0.926842709,0.964500202,63.4761905,91,96.9047619,100
detail_postroute_si,row_delay,iwls2005__wb_conmax,1287,47.6550117,41.0879947,-6.56701697,6.94030325,78.0450017,8.83430822,7.80450017e-05,0.00883430822,17.2782,17.2782,30.0619,14.5636377,29.1266025,13.4770968,0.750727857,0.956609203,43.9005439,67.5213675,99.9222999,100
detail_postroute_si,row_delay,iwls2005__wb_dma,1100,38.6645455,39.7302911,1.06574569,1.80187788,6.47927308,2.54544163,6.47927308e-06,0.00254544163,6.5178,6.5178,6.5178,4.66028465,22.3702326,4.75869643,0.963585682,0.986075959,90.9090909,100,100,100
detail_postroute_si,row_delay,openroad__dynamic_node,1495,49.6167224,49.480735,-0.135987386,1.99348298,6.51307843,2.55207336,6.51307843e-06,0.00255207336,4.6554,5.659,5.9704,4.01776434,16.6865511,4.22013617,0.979325597,0.989784106,98.4615385,100,100,100
detail_postroute_si,row_delay,openroad__ethmac,1500,53.3813333,55.057552,1.67621872,3.29443325,17.9572012,4.2375938,1.79572012e-05,0.0042375938,8.8144,10.961,17.5887,6.17150798,18.784961,6.01175202,0.961830648,0.986610509,76.6,97.6666667,100,100
detail_postroute_si,row_delay,openroad__fifo,1300,38.2084615,38.9999478,0.791486292,1.46583521,3.82512564,1.95579284,3.82512564e-06,0.00195579284,4.0719,5.5398,6.1574,3.83641517,18.9954565,4.01740774,0.98064543,0.991897868,96.3846154,100,100,100
detail_postroute_si,row_delay,openroad__gcd,291,27.8041237,28.093447,0.289323299,1.12611024,2.35903424,1.53591479,2.35903424e-06,0.00153591479,2.9378,4.1447,4.1447,4.05015548,26.9858953,4.13566831,0.979325311,0.990578212,100,100,100,100
detail_postroute_si,row_delay,openroad__jpeg,1235,55.5376518,59.8468916,4.30923976,4.63916656,31.3737759,5.60122985,3.13737759e-05,0.00560122985,10.3451,10.3451,10.3451,8.35319177,7.43459791,7.77603337,0.843931681,0.991606878,60.8906883,91.902834,100,100
detail_postroute_si,row_delay,openroad__spi,166,29.1746988,29.8930737,0.718374855,1.16594835,2.72739206,1.65148178,2.72739206e-06,0.00165148178,3.4037,4.146,4.146,3.99643663,33.3358412,3.88407988,0.983862698,0.994474243,100,100,100,100
detail_postroute_si,row_delay,openroad__uart,707,32.311174,33.0659999,0.754825914,1.38309126,3.7933116,1.94764258,3.7933116e-06,0.00194764258,4.17223,6.6716,6.6716,4.28053546,26.1832674,4.40875791,0.975564604,0.991600318,97.1711457,100,100,100
detail_postroute_si,arrival,iwls2005__ac97_ctrl,1250,174.036,191.830465,17.7944653,17.7944653,358.879247,18.9441085,0.000358879247,0.0189441085,29.4930624,32.2423523,33.197126,10.2245888,10.7286831,11.3953441,0.93365069,0.997973351,0,16.4,64.16,100
detail_postroute_si,arrival,iwls2005__des,815,193.370552,214.089989,20.7194369,20.7194369,530.791757,23.0389183,0.000530791757,0.0230389183,35.7640908,39.3064332,43.866556,10.7148874,9.9975141,10.5869148,0.942844162,0.998790787,12.6380368,12.6380368,40.6134969,100
detail_postroute_si,arrival,iwls2005__mem_ctrl,1300,155.686154,158.698646,3.0124923,5.04613215,46.5959646,6.82612369,4.65959646e-05,0.00682612369,15.033546,17.732948,19.044987,3.24122089,4.05170082,4.01028377,0.991759849,0.998296303,69,83,100,100
detail_postroute_si,arrival,iwls2005__pci,1043,166.487057,183.706846,17.2197895,17.2197895,377.882377,19.4391969,0.000377882377,0.0194391969,31.893801,35.595903,45.650108,10.34302,10.7034357,11.505877,0.928325198,0.994925301,9.58772771,13.9980825,61.2655801,100
detail_postroute_si,arrival,iwls2005__sasc,839,95.4779499,99.2449512,3.76700121,3.97932966,27.4571527,5.23995732,2.74571527e-05,0.00523995732,10.535013,11.1610724,11.264093,4.16779964,3.8790553,3.98592693,0.983940962,0.997597106,64.2431466,92.8486293,100,100
detail_postroute_si,arrival,iwls2005__simple_spi,900,98.95,99.9069944,0.95699436,2.51772991,11.3369865,3.36704417,1.13369865e-05,0.00336704417,6.996632,9.10909145,9.550434,2.5444466,2.48477446,2.49060144,0.993969049,0.998164212,85,100,100,100
detail_postroute_si,arrival,iwls2005__spi,1100,131.757273,137.820411,6.06313788,6.07116297,63.5237078,7.97017615,6.35237078e-05,0.00797017615,16.8759812,24.21728,25.709698,4.60783898,5.31372462,5.53028311,0.981357631,0.996346421,48.1818182,82.6363636,97,100
detail_postroute_si,arrival,iwls2005__ss_pcm,723,94.0359613,94.8323678,0.796406526,3.3706651,17.4106886,4.17261172,1.74106886e-05,0.00417261172,8.594512,10.2942654,10.327452,3.58444265,4.511987,4.43005186,0.990698505,0.997642148,80.3596127,97.7869986,100,100
detail_postroute_si,arrival,iwls2005__systemcaes,1100,165.322727,164.922015,-0.40071211,5.82736543,40.7337661,6.382301,4.07337661e-05,0.006382301,9.853721,13.9750703,17.605483,3.52484231,4.24758204,4.25471927,0.991145398,0.995602009,40.2727273,95.1818182,100,100
detail_postroute_si,arrival,iwls2005__systemcdes,900,115.801111,119.512605,3.71149428,4.46349958,35.1720682,5.93060437,3.51720682e-05,0.00593060437,12.554511,16.003736,17.08347,3.85445315,4.08552002,4.21595989,0.985031318,0.995661143,66.8888889,87.1111111,100,100
detail_postroute_si,arrival,iwls2005__tv80,1076,144.078067,142.98956,-1.08850687,2.56368217,8.87985694,2.97990888,8.87985694e-06,0.00297990888,5.2749125,8.62389875,10.919822,1.77937019,2.09167191,2.07323296,0.997399027,0.999096061,94.1449814,99.8141264,100,100
detail_postroute_si,arrival,iwls2005__usb_funct,640,155.564063,167.61339,12.0493279,12.7758712,229.021234,15.1334475,0.000229021234,0.0151334475,27.961461,35.794399,42.708385,8.21261094,8.92283979,9.49715433,0.943419663,0.99117337,19.6875,26.40625,83.28125,100
detail_postroute_si,arrival,iwls2005__usb_phy,870,91.4770115,94.3152094,2.8381979,3.90293508,29.6521826,5.44538177,2.96521826e-05,0.00544538177,11.2382323,13.3838044,14.034685,4.26657475,4.13470287,4.19159639,0.983963434,0.996947991,67.2413793,87.3563218,100,100
