case,summary_ecc_skew_max_ns,summary_innovus_skew_max_ns,skew_max_delta_ns,skew_max_ratio,summary_ecc_latency_avg_ns,summary_innovus_latency_avg_ns,latency_avg_delta_ns,latency_avg_ratio,latency_spread_delta_ns,tree_min_depth_delta,tree_max_depth_delta,tree_depth_span_delta,buffer_count_delta,trunk_wire_length_ratio,leaf_wire_length_ratio,total_wire_length_ratio,trunk_total_cap_ratio,leaf_total_cap_ratio,clock_total_cap_ratio,drive_avg_delta,timing_clock_stage_avg_delta,timing_clock_stage_spread_delta,latency_classification,latency_reasons,skew_classification,skew_reasons,repair_recommendation,l3_classification,ecc_tool_dir,cts_log_found,ecc_log_found,config_enable_sink_clustering,config_max_fanout,config_max_cap,htree_global_policy,htree_global_adaptive_reason,htree_global_front_size,htree_global_median_depth,htree_global_timing_depth,htree_global_selected_depth,htree_global_selected_buffered_levels,htree_global_selected_delay_ns,htree_global_selected_power_w,depth_candidate_rows,depth_status_histogram,depth_feasible_count,depth_failed_count,depth_min_reported,depth_max_reported,selected_depth_row_split_groups,selected_depth_row_split_buffers,selected_depth_row_split_local_depth,selected_depth_row_best_delay_ns,selected_depth_row_best_power_mw,first_monotone_hard_fail,first_hard_fail_load_count,first_hard_fail_max_fanout,first_hard_fail_loads_over_one_level,first_hard_fail_loads_over_two_level,first_hard_fail_node,htree_overview_levels,htree_overview_depth_candidates,htree_overview_selected_depth,htree_overview_final_frontier_count,htree_overview_inserted_insts,htree_overview_inserted_nets,htree_overview_selected_terminal_branch_buffered_levels,htree_overview_htree_load_group_count,htree_overview_htree_load_cap_min,htree_overview_htree_load_cap_max,htree_overview_htree_load_cap_mean,htree_overview_htree_load_cap_median,htree_overview_selected_root_driver_cell_master,htree_overview_used_boundary_relaxation,htree_load_cap_range_to_mean,topology_load_count_label,topology_load_count,topology_span_width_height,topology_sqrt_area_um,topology_half_perimeter_um,cluster_leaf_count,cluster_leaf_min_distance,cluster_leaf_max_distance,cluster_leaf_mean_distance,cluster_leaf_median_distance,source_trunk_stage,source_trunk_status,source_trunk_length_um,source_trunk_required_load_cap_pf,source_trunk_source_drive_pf,source_trunk_strict_candidates,source_trunk_relaxed_candidates,source_trunk_inserted_insts,source_trunk_inserted_nets,fast_cluster_input_loads,fast_cluster_valid_entries,fast_cluster_partition_entries,fast_cluster_partition_drafts,fast_cluster_partition_avg_fanout,fast_cluster_partition_fanout_histogram,fast_cluster_final_clusters,fast_cluster_final_assigned_loads,fast_cluster_final_avg_fanout,fast_cluster_final_fanout_histogram,fast_cluster_polish_active_clusters,fast_cluster_merge_attempted_clusters,fast_cluster_total_merges,fast_cluster_boundary_rounds,fast_cluster_boundary_moved_loads,prepare_htree_sinks,prepare_cluster_buffers,source_segment_strict_candidates_log,source_segment_relaxed_candidates_log,source_segment_used_boundary_relaxation,source_segment_selected_pattern_id,source_segment_policy,source_segment_selected_buffer_count,cluster_compression_ratio,cluster_count_minus_min_legal,htree_selected_depth_minus_innovus_max_depth,ecc_report_depth_minus_htree_selected_depth,cluster_buffers_to_htree_insts_ratio,source_segment_has_buffer
iwls2005__usb_phy,0.019,0.015,0.004,1.26667,0.137,0.1065,0.0305,1.28638,0.004,1,1,0,3,1.49877,0.924893,1.14511,1.20168,0.960674,1.05724,0.70977,1,0,ecc_latency_late,deeper_tree_or_stage_count;longer_or_heavier_source_trunk,skew_near_innovus,skew delta is below the Phase 2 triage threshold,tree_level_candidate_scoring_or_topology_depth_balance;source_trunk_buffering_or_sizing,l3_aligned_under_50ps,.trellis/tasks/06-13-commercial-cts-capability-align/runs/phase4_iter09_kary_buffer_first_cts/iwls2005__usb_phy/cts_baseline/cts/ecc-tools/usb_phy,true,true,true,4,0.1500 pF,adaptive_physical_front_midpoint,same_shape_use_delay_midpoint_power,36,1,1,1,1,0.070054,1.4e-05,2,feasible:1;selected:1,2,0,1,2,4,8,1,0.0701,13.824,,,,,,,1,2,1,1881,12,12,0/1,4,0.0092,0.01,0.0096,0.0096,BUFX16H7L,false,0.0833333,load_count (local buffer),25,36.467 x 32.901 um,34.638,34.684,25,0.68,11.16,6.43,6.15,top_segment,finished,49.295,0.0033,0.15,3950,0,0,0,98,98,98,25,3.920,3:2;4:23;elapsed_time:0,25,98,3.920,3:2;4:23;elapsed_time:1,25,0,0,1,0,25,25,3950,0,false,24,pareto_median,0,3.92,0,-2,3,2.08333,false
iwls2005__vga_lcd,0.11,0.069,0.041,1.5942,0.481,0.4635,0.0175,1.03776,0.042,0,1,1,35,1.61104,0.888667,1.14815,1.2248,0.870238,0.999901,0.16625,0,0,latency_near_innovus,latency delta is below the Phase 2 triage threshold,ecc_skew_worse,latency_spread_larger;depth_or_stage_spread_larger;trunk_leaf_length_imbalance;trunk_leaf_cap_imbalance,tree_level_candidate_scoring_or_topology_depth_balance;rc_drv_aware_selection,cumulative_arrival_gap,.trellis/tasks/06-13-commercial-cts-capability-align/runs/phase4_iter09_kary_buffer_first_cts/iwls2005__vga_lcd/cts_baseline/cts/ecc-tools/vga_enh_top,true,true,true,4,0.1500 pF,adaptive_physical_shape_median,timing_candidate_adds_physical_depth_or_buffer_count,722,4,1,4,4,0.38353,0.000218,6,feasible:5;selected:1,6,0,1,6,256,1238,2,0.3835,217.947,,,,,,,4,6,4,16626,1578,1578,2/4,256,0.015,0.1086,0.0224,0.0191,BUFX16H7L,false,4.17857,load_count (local buffer),4226,568.400 x 586.250 um,577.256,577.325,4226,0.18,29.59,8.51,8.12,top_segment,finished,506.74,0.0033,0.15,18660,0,0,0,16901,16901,16901,4226,3.999,3:3;4:4223;elapsed_time:0,4226,16901,3.999,3:3;4:4223;elapsed_time:1,4226,0,0,1,2,4226,4226,18660,0,false,6811,pareto_median,0,3.99929,0,-3,4,2.67807,false
iwls2005__wb_conmax,0.111,0.036,0.075,3.08333,0.302,0.29,0.012,1.04138,0.074,0,0,0,5,1.58965,0.889183,1.16587,1.27825,0.825726,1.00308,-0.12495,0,0,latency_near_innovus,latency delta is below the Phase 2 triage threshold,ecc_skew_worse,latency_spread_larger;trunk_leaf_length_imbalance;trunk_leaf_cap_imbalance,rc_drv_aware_selection,cumulative_arrival_gap,.trellis/tasks/06-13-commercial-cts-capability-align/runs/phase4_iter09_kary_buffer_first_cts/iwls2005__wb_conmax/cts_baseline/cts/ecc-tools/wb_conmax_top,true,true,true,4,0.1500 pF,adaptive_physical_shape_median,timing_candidate_adds_physical_depth_or_buffer_count,103,2,1,2,2,0.149128,3e-05,3,feasible:2;selected:1,3,0,1,3,16,55,1,0.1491,29.648,,,,,,,2,3,2,2556,75,75,1/2,16,0.012,0.0262,0.0192,0.0197,BUFX20H7L,false,0.739583,load_count (local buffer),194,250.009 x 167.651 um,204.73,208.83,194,1.3,36.28,9.95,9.1,top_segment,finished,256.192,0.0044,0.15,6740,0,0,0,770,770,770,194,3.969,2:1;3:4;4:189;elapsed_time:0,194,770,3.969,2:1;3:4;4:189;elapsed_time:1,194,1,0,1,2,194,194,6740,0,false,24,pareto_median,0,3.96907,1,-3,3,2.58667,false
iwls2005__wb_dma,0.026,0.03,-0.004,0.866667,0.2,0.1575,0.0425,1.26984,-0.003,1,1,0,14,1.6297,0.828496,1.09818,1.32841,0.915419,1.05906,0.3799,1,0,ecc_latency_late,deeper_tree_or_stage_count;longer_or_heavier_source_trunk,skew_near_innovus,skew delta is below the Phase 2 triage threshold,tree_level_candidate_scoring_or_topology_depth_balance;source_trunk_buffering_or_sizing,l3_aligned_under_50ps,.trellis/tasks/06-13-commercial-cts-capability-align/runs/phase4_iter09_kary_buffer_first_cts/iwls2005__wb_dma/cts_baseline/cts/ecc-tools/wb_dma_top,true,true,true,4,0.1500 pF,adaptive_physical_shape_median,timing_candidate_adds_physical_depth_or_buffer_count,100,2,1,2,2,0.107759,2.4e-05,3,feasible:2;selected:1,3,0,1,3,16,38,1,0.1078,23.826,,,,,,,2,3,2,2560,58,58,1/2,16,0.0065,0.0117,0.0089,0.0084,BUFX20H7L,false,0.58427,load_count (local buffer),131,98.400 x 95.550 um,96.965,96.975,131,0,16.47,7.53,7.28,top_segment,finished,118.753,0.0044,0.15,6592,0,0,0,523,523,523,131,3.992,3:1;4:130;elapsed_time:0,131,523,3.992,3:1;4:130;elapsed_time:1,131,0,0,1,0,131,131,6592,0,false,24,pareto_median,0,3.99237,0,-2,3,2.25862,false
openroad__dynamic_node,0.059,0.044,0.015,1.34091,0.2735,0.24,0.0335,1.13958,0.014,0,1,1,56,1.5541,0.885409,1.12848,1.31561,0.909831,1.05862,1.06206,1,0,ecc_latency_late,deeper_tree_or_stage_count;longer_or_heavier_source_trunk,ecc_skew_worse,latency_spread_larger;depth_or_stage_spread_larger;trunk_leaf_length_imbalance;trunk_leaf_cap_imbalance,tree_level_candidate_scoring_or_topology_depth_balance;source_trunk_buffering_or_sizing;rc_drv_aware_selection,l3_aligned_under_50ps,.trellis/tasks/06-13-commercial-cts-capability-align/runs/phase4_iter09_kary_buffer_first_cts/openroad__dynamic_node/cts_baseline/cts/ecc-tools/dynamic_node_top,true,true,true,4,0.1500 pF,adaptive_physical_shape_median,timing_candidate_adds_physical_depth_or_buffer_count,269,4,1,4,3,0.181579,7.5e-05,4,feasible:3;selected:1,4,0,1,4,62,168,1,0.1816,75.401,,,,,,,4,4,4,12820,252,252,2/4,64,0.0062,0.0185,0.0108,0.0109,BUFX20H7L,false,1.13889,load_count (local buffer),570,226.500 x 219.451 um,222.948,222.976,570,0.35,34.31,8.05,7.99,top_segment,finished,240.722,0.0044,0.15,9781,0,0,0,2280,2280,2280,570,4.000,4:570;elapsed_time:0,570,2280,4.000,4:570;elapsed_time:1,570,0,0,1,0,570,570,9781,0,false,68,pareto_median,0,4,0,-1,2,2.2619,false
openroad__ethmac,0.097,0.057,0.04,1.70175,0.3575,0.4035,-0.046,0.885998,0.038,-1,0,1,160,1.57126,0.900909,1.14067,1.22851,0.888196,1.01249,0.05477,-0.025,1,ecc_latency_early,longer_or_heavier_source_trunk,ecc_skew_worse,latency_spread_larger;depth_or_stage_spread_larger;trunk_leaf_length_imbalance;trunk_leaf_cap_imbalance,tree_level_candidate_scoring_or_topology_depth_balance;source_trunk_buffering_or_sizing;rc_drv_aware_selection,l3_aligned_under_50ps,.trellis/tasks/06-13-commercial-cts-capability-align/runs/phase4_iter09_kary_buffer_first_cts/openroad__ethmac/cts_baseline/cts/ecc-tools/ethmac,true,true,true,4,0.1500 pF,adaptive_physical_shape_median,timing_candidate_adds_physical_depth_or_buffer_count,554,3,1,3,3,0.205536,7.5e-05,5,feasible:4;selected:1,5,0,1,5,64,969,2,0.2055,74.947,,,,,,,3,5,3,23124,1053,1053,1/3,64,0.0193,0.0426,0.0224,0.0215,BUFX20H7L,false,1.04018,load_count (local buffer),2505,455.350 x 452.200 um,453.772,453.775,2505,0.17,39.84,7.73,7.61,top_segment,finished,292.428,0.0044,0.15,13428,0,0,0,10017,10017,10017,2505,3.999,3:3;4:2502;elapsed_time:0,2505,10017,3.999,3:3;4:2502;elapsed_time:1,2505,0,0,1,2,2505,2505,13428,0,false,639,pareto_median,0,3.9988,0,-4,4,2.37892,false
openroad__fifo,0.049,0.047,0.002,1.04255,0.199,0.1735,0.0255,1.14697,0.004,1,1,0,2,1.70115,0.863034,1.12915,1.43627,0.91804,1.09872,2.49926,0.315,0,ecc_latency_late,deeper_tree_or_stage_count;longer_or_heavier_source_trunk;drive_strength_distribution_mismatch,skew_near_innovus,skew delta is below the Phase 2 triage threshold,tree_level_candidate_scoring_or_topology_depth_balance;source_trunk_buffering_or_sizing;drive_strength_distribution_adjustment,l3_aligned_under_50ps,.trellis/tasks/06-13-commercial-cts-capability-align/runs/phase4_iter09_kary_buffer_first_cts/openroad__fifo/cts_baseline/cts/ecc-tools/fifo,true,true,true,4,0.1500 pF,adaptive_physical_shape_median,timing_candidate_adds_physical_depth_or_buffer_count,149,3,1,3,3,0.135894,3.8e-05,4,feasible:3;selected:1,4,0,1,4,4,8,1,0.1359,38.351,,,,,,,3,4,3,9666,92,92,2/3,64,0.0058,0.015,0.0127,0.0129,BUFX20H7L,false,0.724409,load_count (local buffer),262,126.200 x 136.150 um,131.081,131.175,262,0.83,26.59,8.55,7.95,top_segment,finished,82.057,0.0044,0.15,9342,0,0,0,1048,1048,1048,262,4.000,4:262;elapsed_time:0,262,1048,4.000,4:262;elapsed_time:1,262,0,0,1,0,262,262,9342,0,false,216,pareto_median,0,4,0,-2,3,2.84783,false
openroad__gcd,0.007,0.009,-0.002,0.777778,0.118,0.0615,0.0565,1.9187,0.003,1,1,0,1,1.60841,1.109,1.31705,1.17647,1.04348,1.10924,-2,1,0,ecc_latency_late,deeper_tree_or_stage_count;longer_or_heavier_source_trunk;higher_clock_cap_load;drive_strength_distribution_mismatch;distribution_issue_not_total_buffer_count,skew_near_innovus,skew delta is below the Phase 2 triage threshold,tree_level_candidate_scoring_or_topology_depth_balance;source_trunk_buffering_or_sizing;drive_strength_distribution_adjustment;rc_drv_aware_selection;buffer_distribution_not_count_repair,l3_aligned_under_50ps,.trellis/tasks/06-13-commercial-cts-capability-align/runs/phase4_iter09_kary_buffer_first_cts/openroad__gcd/cts_baseline/cts/ecc-tools/gcd,true,true,true,4,0.1500 pF,adaptive_physical_front_midpoint,same_shape_use_delay_midpoint_power,1,1,1,1,0,0.060578,8e-06,1,selected:1,1,0,1,1,1,3,1,0.0606,7.884,,,,,,,1,1,1,490,3,3,0/1,1,0.0113,0.0113,0.0113,0.0113,none,false,0,load_count (local buffer),9,22.500 x 23.332 um,22.912,22.916,9,1.91,13,9.3,11.1,top_segment,finished,39.768,0.002,0.15,1890,0,0,0,34,34,34,9,3.778,3:2;4:7;elapsed_time:0,9,34,3.778,3:2;4:7;elapsed_time:1,9,0,0,1,1,9,9,1890,0,false,5,pareto_median,0,3.77778,0,-1,2,3,false
openroad__jpeg,0.062,0.048,0.014,1.29167,0.314,0.3035,0.0105,1.0346,0.017,0,1,1,28,1.62031,0.955957,1.21218,1.24789,0.932601,1.05407,0.25566,0.26,1,latency_near_innovus,latency delta is below the Phase 2 triage threshold,ecc_skew_worse,latency_spread_larger;depth_or_stage_spread_larger;trunk_leaf_length_imbalance;trunk_leaf_cap_imbalance,tree_level_candidate_scoring_or_topology_depth_balance;rc_drv_aware_selection,l3_aligned_under_50ps,.trellis/tasks/06-13-commercial-cts-capability-align/runs/phase4_iter09_kary_buffer_first_cts/openroad__jpeg/cts_baseline/cts/ecc-tools/jpeg_encoder,true,true,true,4,0.1500 pF,adaptive_physical_shape_median,timing_candidate_adds_physical_depth_or_buffer_count,335,3,1,3,3,0.212471,7.6e-05,5,feasible:4;selected:1,5,0,1,5,64,384,2,0.2125,76.075,,,,,,,3,5,3,7020,468,468,1/3,64,0.0162,0.0416,0.0236,0.0217,BUFX20H7L,false,1.07627,load_count (local buffer),1132,383.150 x 367.500 um,375.243,375.325,1132,0.2,37.74,10.29,9.2,top_segment,finished,387.097,0.0044,0.15,13943,0,0,0,4522,4522,4522,1132,3.995,2:1;3:4;4:1127;elapsed_time:0,1132,4522,3.995,2:1;3:4;4:1127;elapsed_time:1,1132,1,0,1,3,1132,1132,13943,0,false,87,pareto_median,0,3.9947,1,-3,4,2.4188,false
openroad__spi,0.009,0.004,0.005,2.25,0.1035,0.06,0.0435,1.725,0.006,1,1,0,1,1.50192,0.992248,1.19753,1.125,1.04878,1.06757,-1.33333,1,0,ecc_latency_late,deeper_tree_or_stage_count;longer_or_heavier_source_trunk;distribution_issue_not_total_buffer_count,skew_near_innovus,skew delta is below the Phase 2 triage threshold,tree_level_candidate_scoring_or_topology_depth_balance;source_trunk_buffering_or_sizing;buffer_distribution_not_count_repair,l3_aligned_under_50ps,.trellis/tasks/06-13-commercial-cts-capability-align/runs/phase4_iter09_kary_buffer_first_cts/openroad__spi/cts_baseline/cts/ecc-tools/spi,true,true,true,4,0.1500 pF,adaptive_physical_front_midpoint,same_shape_use_delay_midpoint_power,1,1,1,1,0,0.046638,8e-06,1,selected:1,1,0,1,1,1,2,1,0.0466,7.739,,,,,,,1,1,1,490,2,2,0/1,1,0.0068,0.0068,0.0068,0.0068,none,false,0,load_count (local buffer),7,12.769 x 16.100 um,14.338,14.434,7,4.73,8.56,6.91,7,top_segment,finished,30.246,0.002,0.15,1890,0,0,0,25,25,25,7,3.571,3:3;4:4;elapsed_time:0,7,25,3.571,3:3;4:4;elapsed_time:1,7,0,0,1,1,7,7,1890,0,false,5,pareto_median,0,3.57143,0,-1,2,3.5,false
openroad__uart,0.04,0.025,0.015,1.6,0.1365,0.0815,0.055,1.67485,0.017,1,1,0,3,1.93541,0.888526,1.22059,1.51163,0.925926,1.12903,0.76393,1.31847,0,ecc_latency_late,deeper_tree_or_stage_count;longer_or_heavier_source_trunk;higher_clock_cap_load,ecc_skew_worse,latency_spread_larger;trunk_leaf_length_imbalance;trunk_leaf_cap_imbalance,tree_level_candidate_scoring_or_topology_depth_balance;source_trunk_buffering_or_sizing;rc_drv_aware_selection,l3_aligned_under_50ps,.trellis/tasks/06-13-commercial-cts-capability-align/runs/phase4_iter09_kary_buffer_first_cts/openroad__uart/cts_baseline/cts/ecc-tools/uart,true,true,true,4,0.1500 pF,adaptive_physical_front_midpoint,same_shape_use_delay_midpoint_power,38,1,1,1,1,0.071529,1.4e-05,2,feasible:1;selected:1,2,0,1,2,2,4,1,0.0715,13.849,,,,,,,1,2,1,1881,8,8,1/1,4,0.0061,0.0146,0.0101,0.01,BUFX16H7L,false,0.841584,load_count (local buffer),20,31.250 x 35.350 um,33.237,33.3,20,0.82,16.95,7.44,7.44,top_segment,finished,49.665,0.0033,0.15,3950,0,0,0,79,79,79,20,3.950,3:1;4:19;elapsed_time:0,20,79,3.950,3:1;4:19;elapsed_time:1,20,0,0,1,0,20,20,3950,0,false,24,pareto_median,0,3.95,0,-2,3,2.5,false
