predictor,target,n,pearson_r,r2,spearman_r
path_delta_um,l3_mean_abs_arrival_delta_ns,23,0.6021493891365958,0.3625838868375754,0.650197628458498
path_delta_um,l3_max_abs_arrival_delta_ns,23,0.5818219274245184,0.3385167552319816,0.5662055335968379
path_delta_um,l3_mean_abs_combined_delay_delta_ns,23,0.5248484962537042,0.2754659440197746,0.5938735177865613
path_delta_um,latency_avg_delta_ns,23,0.34104205631299694,0.11630968417419738,-0.03260869565217391
path_delta_um,abs_latency_avg_delta_ns,23,0.34104205631299694,0.11630968417419738,-0.03260869565217391
path_delta_um,skew_max_delta_ns,23,0.5186730371571272,0.26902171947379866,0.5335321046103944
path_delta_um,abs_skew_max_delta_ns,23,0.4932945594204754,0.24333952235384093,0.43960482228262565
path_delta_um,buffer_count_delta,23,0.7808071545259313,0.6096598125588816,0.8235597607344121
path_delta_um,abs_buffer_count_delta,23,0.7760766105715462,0.6022949054762193,0.7740669866518153
path_delta_um,trunk_wire_length_ratio,23,-0.24826529122832774,0.06163565482868639,-0.12154150197628459
path_delta_um,leaf_wire_length_ratio,23,-0.20812676983939143,0.04331675232377902,-0.11561264822134387
path_delta_um,clock_total_cap_ratio,23,-0.5051777500398928,0.25520455913536844,-0.4851778656126482
path_rel_error_ratio,l3_mean_abs_arrival_delta_ns,23,-0.3140802493258431,0.09864640301658377,-0.44367588932806323
path_rel_error_ratio,l3_max_abs_arrival_delta_ns,23,-0.43183260819920555,0.18647940150412856,-0.549407114624506
path_rel_error_ratio,l3_mean_abs_combined_delay_delta_ns,23,-0.37314457277882257,0.13923687219429,-0.3577075098814229
path_rel_error_ratio,latency_avg_delta_ns,23,-0.21657799837863376,0.04690602938169549,-0.2598814229249012
path_rel_error_ratio,abs_latency_avg_delta_ns,23,-0.21657799837863376,0.04690602938169549,-0.2598814229249012
path_rel_error_ratio,skew_max_delta_ns,23,-0.20603451165105352,0.04245021999128811,-0.16530586543587358
path_rel_error_ratio,abs_skew_max_delta_ns,23,-0.3456133504481973,0.11944858800802843,-0.27277281202446707
