case,summary_ecc_skew_max_ns,summary_innovus_skew_max_ns,skew_max_delta_ns,skew_max_ratio,summary_ecc_latency_avg_ns,summary_innovus_latency_avg_ns,latency_avg_delta_ns,latency_avg_ratio,latency_spread_delta_ns,tree_min_depth_delta,tree_max_depth_delta,tree_depth_span_delta,buffer_count_delta,trunk_wire_length_ratio,leaf_wire_length_ratio,total_wire_length_ratio,trunk_total_cap_ratio,leaf_total_cap_ratio,clock_total_cap_ratio,drive_avg_delta,timing_clock_stage_avg_delta,timing_clock_stage_spread_delta,latency_classification,latency_reasons,skew_classification,skew_reasons,repair_recommendation,l3_classification,ecc_tool_dir,cts_log_found,ecc_log_found,config_enable_sink_clustering,config_max_fanout,config_max_cap,htree_global_policy,htree_global_adaptive_reason,htree_global_front_size,htree_global_median_depth,htree_global_timing_depth,htree_global_selected_depth,htree_global_selected_buffered_levels,htree_global_selected_delay_ns,htree_global_selected_power_w,depth_candidate_rows,depth_status_histogram,depth_feasible_count,depth_failed_count,depth_min_reported,depth_max_reported,selected_depth_row_split_groups,selected_depth_row_split_buffers,selected_depth_row_best_delay_ns,selected_depth_row_best_power_mw,first_monotone_hard_fail,first_hard_fail_load_count,first_hard_fail_max_fanout,first_hard_fail_loads_over_one_level,first_hard_fail_loads_over_two_level,first_hard_fail_node,htree_overview_levels,htree_overview_depth_candidates,htree_overview_selected_depth,htree_overview_final_frontier_count,htree_overview_inserted_insts,htree_overview_inserted_nets,htree_overview_selected_terminal_branch_buffered_levels,htree_overview_htree_load_group_count,htree_overview_htree_load_cap_min,htree_overview_htree_load_cap_max,htree_overview_htree_load_cap_mean,htree_overview_htree_load_cap_median,htree_overview_selected_root_driver_cell_master,htree_overview_used_boundary_relaxation,htree_load_cap_range_to_mean,topology_load_count_label,topology_load_count,topology_span_width_height,topology_sqrt_area_um,topology_half_perimeter_um,cluster_leaf_count,cluster_leaf_min_distance,cluster_leaf_max_distance,cluster_leaf_mean_distance,cluster_leaf_median_distance,source_trunk_stage,source_trunk_status,source_trunk_length_um,source_trunk_required_load_cap_pf,source_trunk_source_drive_pf,source_trunk_strict_candidates,source_trunk_relaxed_candidates,source_trunk_inserted_insts,source_trunk_inserted_nets,fast_cluster_input_loads,fast_cluster_valid_entries,fast_cluster_partition_entries,fast_cluster_partition_drafts,fast_cluster_partition_avg_fanout,fast_cluster_partition_fanout_histogram,fast_cluster_final_clusters,fast_cluster_final_assigned_loads,fast_cluster_final_avg_fanout,fast_cluster_final_fanout_histogram,fast_cluster_polish_active_clusters,fast_cluster_merge_attempted_clusters,fast_cluster_total_merges,fast_cluster_boundary_rounds,fast_cluster_boundary_moved_loads,prepare_htree_sinks,prepare_cluster_buffers,source_segment_strict_candidates_log,source_segment_relaxed_candidates_log,source_segment_used_boundary_relaxation,source_segment_selected_pattern_id,source_segment_policy,source_segment_selected_buffer_count,cluster_compression_ratio,cluster_count_minus_min_legal,htree_selected_depth_minus_innovus_max_depth,ecc_report_depth_minus_htree_selected_depth,cluster_buffers_to_htree_insts_ratio,source_segment_has_buffer
iwls2005__tv80,0.057,0.046,0.011,1.23913,0.2065,0.148,0.0585,1.39527,0.013,1,1,0,9,1.74999,0.882076,1.20879,1.35041,0.914508,1.08333,0.81805,1.465,0,ecc_latency_late,deeper_tree_or_stage_count;longer_or_heavier_source_trunk,ecc_skew_worse,latency_spread_larger;trunk_leaf_length_imbalance;trunk_leaf_cap_imbalance,tree_level_candidate_scoring_or_topology_depth_balance;source_trunk_buffering_or_sizing;rc_drv_aware_selection,l3_aligned_under_50ps,/home/liweiguo/project/ecc-tools-dev/.trellis/tasks/06-13-commercial-cts-capability-align/runs/l3_native_ground_coupling_full_detail/iwls2005__tv80/cts_baseline/cts/ecc-tools/tv80s,true,true,true,4,0.1500 pF,adaptive_front_midpoint,same_shape_use_delay_midpoint_power,9,4,4,4,2,0.135407,7.4e-05,4,failed:1;feasible:2;selected:1,3,1,4,6,9,19,0.1354,73.618,"htree_load_group_node_6 anchor=(48717,84635) fanout_violation load_count=17, max_fanout=4, split=infeasible",17,4,13,1,6,4,4,4,23240,39,39,2/4,16,0.0062,0.0175,0.0114,0.0112,BUFX20H7L,false,0.991228,load_count (local buffer),90,106.950 x 108.500 um,107.722,107.725,90,1.13,22.64,9.13,8.46,top_segment,finished,102.455,0.0044,0.15,15100,0,0,0,359,359,359,90,3.989,3:1;4:89;elapsed_time:0,90,359,3.989,3:1;4:89;elapsed_time:1,90,0,0,1,1,90,90,15100,0,false,337508,pareto_median,0,3.98889,0,0,1,2.30769,false
iwls2005__usb_funct,0.064,0.026,0.038,2.46154,0.219,0.136,0.083,1.61029,0.04,1,1,0,-7,1.47631,1.47853,1.47732,1.19154,1.18891,1.19017,-0.00433,1,0,ecc_latency_late,deeper_tree_or_stage_count;longer_or_heavier_source_trunk;longer_or_heavier_leaf_branch;higher_clock_cap_load,ecc_skew_worse,latency_spread_larger,tree_level_candidate_scoring_or_topology_depth_balance;source_trunk_buffering_or_sizing;branch_buffering_or_sizing;rc_drv_aware_selection,l3_aligned_under_50ps,/home/liweiguo/project/ecc-tools-dev/.trellis/tasks/06-13-commercial-cts-capability-align/runs/l3_native_ground_coupling_full_detail/iwls2005__usb_funct/cts_baseline/cts/ecc-tools/usbf_top,true,true,true,4,0.1500 pF,adaptive_front_midpoint,same_shape_use_delay_midpoint_power,8,2,2,2,1,0.121192,3.4e-05,4,feasible:3;selected:1,4,0,2,5,4,16,0.1212,34.139,"htree_load_group_node_1 anchor=(118397,102651) fanout_violation load_count=25, max_fanout=4, split=infeasible",25,4,21,9,1,2,4,2,17232,20,20,0/2,4,0.0354,0.0518,0.043,0.0423,BUFX16H7L,false,0.381395,load_count (local buffer),56,171.650 x 146.066 um,158.342,158.858,56,1.84,45.5,17.26,14.63,top_segment,finished,143.5,0.0033,0.15,12676,0,0,0,222,222,222,56,3.964,3:2;4:54;elapsed_time:0,56,222,3.964,3:2;4:54;elapsed_time:1,56,0,0,1,2,56,56,12676,0,false,87,pareto_median,0,3.96429,0,-1,2,2.8,false
iwls2005__usb_phy,0.012,0.015,-0.003,0.8,0.141,0.1065,0.0345,1.32394,-0.003,1,1,0,1,1.42081,0.933129,1.12027,1.09244,0.966292,1.01684,-0.00953,1,0,ecc_latency_late,deeper_tree_or_stage_count;longer_or_heavier_source_trunk;distribution_issue_not_total_buffer_count,skew_near_innovus,skew delta is below the Phase 2 triage threshold,tree_level_candidate_scoring_or_topology_depth_balance;source_trunk_buffering_or_sizing;buffer_distribution_not_count_repair,l3_aligned_under_50ps,/home/liweiguo/project/ecc-tools-dev/.trellis/tasks/06-13-commercial-cts-capability-align/runs/l3_native_ground_coupling_full_detail/iwls2005__usb_phy/cts_baseline/cts/ecc-tools/usb_phy,true,true,true,4,0.1500 pF,adaptive_shape_median,median_changes_depth_or_buffered_levels,42,1,2,1,1,0.081159,1.4e-05,4,feasible:3;selected:1,4,0,1,4,2,8,0.0812,13.656,"htree_load_group_node_0 anchor=(26400,24950) fanout_violation load_count=25, max_fanout=4, split=infeasible",25,4,21,9,0,1,4,1,1872,10,10,0/1,2,0.0191,0.0212,0.0201,0.0201,BUFX12H7L,false,0.104478,load_count (local buffer),25,36.467 x 32.901 um,34.638,34.684,25,0.68,10.39,6.44,6.55,top_segment,finished,49.295,0.003,0.15,8999,0,0,0,98,98,98,25,3.920,3:2;4:23;elapsed_time:0,25,98,3.920,3:2;4:23;elapsed_time:1,25,0,0,1,0,25,25,8999,0,false,24,pareto_median,0,3.92,0,-2,3,2.5,false
iwls2005__vga_lcd,0.12,0.069,0.051,1.73913,0.6445,0.4635,0.181,1.39051,0.054,3,3,0,265,1.60159,0.888243,1.14449,1.23836,0.869824,1.00462,0.17199,3,0,ecc_latency_late,deeper_tree_or_stage_count;longer_or_heavier_source_trunk,ecc_skew_worse,latency_spread_larger;trunk_leaf_length_imbalance;trunk_leaf_cap_imbalance,tree_level_candidate_scoring_or_topology_depth_balance;source_trunk_buffering_or_sizing;rc_drv_aware_selection,cumulative_arrival_gap,/home/liweiguo/project/ecc-tools-dev/.trellis/tasks/06-13-commercial-cts-capability-align/runs/l3_native_ground_coupling_full_detail/iwls2005__vga_lcd/cts_baseline/cts/ecc-tools/vga_enh_top,true,true,true,4,0.1500 pF,adaptive_front_midpoint,same_shape_use_delay_midpoint_power,31,9,9,9,5,0.369014,0.001944,4,feasible:3;selected:1,4,0,9,12,512,1114,0.369,1.944,"htree_load_group_node_15 anchor=(126592,486581) fanout_violation load_count=18, max_fanout=4, split=infeasible",18,4,14,2,15,9,4,9,113137,1806,1806,2/9,512,0.0059,0.0188,0.0083,0.0074,BUFX20H7L,false,1.55422,load_count (local buffer),4226,568.400 x 586.250 um,577.256,577.325,4226,0.05,29.59,7.83,7.74,top_segment,finished,506.74,0.0044,0.15,75301,0,2,2,16901,16901,16901,4226,3.999,3:3;4:4223;elapsed_time:0,4226,16901,3.999,3:3;4:4223;elapsed_time:1,4226,0,0,1,2,4226,4226,75301,0,false,15988811,pareto_median,2,3.99929,0,2,1,2.33998,true
iwls2005__wb_conmax,0.089,0.036,0.053,2.47222,0.3055,0.29,0.0155,1.05345,0.051,0,1,1,26,1.56475,0.907514,1.16713,1.32976,0.842785,1.03364,0.43634,0.935,1,latency_near_innovus,latency delta is below the Phase 2 triage threshold,ecc_skew_worse,latency_spread_larger;depth_or_stage_spread_larger;trunk_leaf_length_imbalance;trunk_leaf_cap_imbalance,tree_level_candidate_scoring_or_topology_depth_balance;rc_drv_aware_selection,cumulative_arrival_gap,/home/liweiguo/project/ecc-tools-dev/.trellis/tasks/06-13-commercial-cts-capability-align/runs/l3_native_ground_coupling_full_detail/iwls2005__wb_conmax/cts_baseline/cts/ecc-tools/wb_conmax_top,true,true,true,4,0.1500 pF,adaptive_front_midpoint,same_shape_use_delay_midpoint_power,118,5,5,5,3,0.192209,0.000136,4,failed:1;feasible:2;selected:1,3,1,5,7,24,54,0.1922,135.61,"htree_load_group_node_69 anchor=(47296,86010) fanout_violation load_count=17, max_fanout=4, split=infeasible",17,4,13,1,69,5,4,5,25871,96,96,2/5,32,0.0056,0.0222,0.0108,0.0089,BUFX20H7L,false,1.53704,load_count (local buffer),194,250.009 x 167.651 um,204.73,208.83,194,0.61,29.53,9.01,7.87,top_segment,finished,256.192,0.0044,0.15,21375,0,0,0,770,770,770,194,3.969,2:1;3:4;4:189;elapsed_time:0,194,770,3.969,2:1;3:4;4:189;elapsed_time:1,194,1,0,1,2,194,194,21375,0,false,1167384,pareto_median,0,3.96907,1,0,1,2.02083,false
iwls2005__wb_dma,0.033,0.03,0.003,1.1,0.211,0.1575,0.0535,1.33968,0.004,1,1,0,11,1.76902,0.83625,1.15023,1.41051,0.915419,1.08773,0.73262,1,0,ecc_latency_late,deeper_tree_or_stage_count;longer_or_heavier_source_trunk,skew_near_innovus,skew delta is below the Phase 2 triage threshold,tree_level_candidate_scoring_or_topology_depth_balance;source_trunk_buffering_or_sizing,l3_aligned_under_50ps,/home/liweiguo/project/ecc-tools-dev/.trellis/tasks/06-13-commercial-cts-capability-align/runs/l3_native_ground_coupling_full_detail/iwls2005__wb_dma/cts_baseline/cts/ecc-tools/wb_dma_top,true,true,true,4,0.1500 pF,adaptive_front_midpoint,same_shape_use_delay_midpoint_power,9,4,4,4,2,0.133463,7.3e-05,4,feasible:3;selected:1,4,0,4,7,16,35,0.1335,73.271,"htree_load_group_node_131 anchor=(85558,72080) fanout_violation load_count=17, max_fanout=4, split=infeasible",17,4,13,1,131,4,4,4,9830,55,55,2/4,16,0.0061,0.0165,0.0083,0.0074,BUFX20H7L,false,1.25301,load_count (local buffer),131,98.400 x 95.550 um,96.965,96.975,131,1.14,22.09,8.35,7.86,top_segment,finished,118.753,0.0044,0.15,18521,0,0,0,523,523,523,131,3.992,3:1;4:130;elapsed_time:0,131,523,3.992,3:1;4:130;elapsed_time:1,131,0,0,1,0,131,131,18521,0,false,1077336,pareto_median,0,3.99237,0,0,1,2.38182,false
openroad__dynamic_node,0.062,0.044,0.018,1.40909,0.372,0.24,0.132,1.55,0.019,2,2,0,59,1.54524,0.885822,1.12552,1.27376,0.906852,1.04151,-0.06593,2,0,ecc_latency_late,deeper_tree_or_stage_count;longer_or_heavier_source_trunk,ecc_skew_worse,latency_spread_larger;trunk_leaf_length_imbalance;trunk_leaf_cap_imbalance,tree_level_candidate_scoring_or_topology_depth_balance;source_trunk_buffering_or_sizing;rc_drv_aware_selection,l3_aligned_under_50ps,/home/liweiguo/project/ecc-tools-dev/.trellis/tasks/06-13-commercial-cts-capability-align/runs/l3_native_ground_coupling_full_detail/openroad__dynamic_node/cts_baseline/cts/ecc-tools/dynamic_node_top,true,true,true,4,0.1500 pF,adaptive_shape_median,median_changes_depth_or_buffered_levels,100,6,6,6,4,0.272802,0.000242,4,feasible:3;selected:1,4,0,6,9,64,169,0.2728,242.27,"htree_load_group_node_9 anchor=(131403,62978) fanout_violation load_count=20, max_fanout=4, split=infeasible",20,4,16,4,9,6,4,6,30767,255,255,2/6,64,0.0065,0.0197,0.0108,0.0087,BUFX12H7L,false,1.22222,load_count (local buffer),570,226.500 x 219.451 um,222.948,222.976,570,0.22,31.54,7.94,7.7,top_segment,finished,240.722,0.003,0.15,30650,0,0,0,2280,2280,2280,570,4.000,4:570;elapsed_time:0,570,2280,4.000,4:570;elapsed_time:1,570,0,0,1,0,570,570,30650,0,false,3344204,pareto_median,0,4,0,1,1,2.23529,false
openroad__ethmac,0.09,0.057,0.033,1.57895,0.423,0.4035,0.0195,1.04833,0.032,0,1,1,236,1.59581,0.905719,1.15254,1.24912,0.891269,1.02199,0.15662,0,0,latency_near_innovus,latency delta is below the Phase 2 triage threshold,ecc_skew_worse,latency_spread_larger;depth_or_stage_spread_larger;trunk_leaf_length_imbalance;trunk_leaf_cap_imbalance,tree_level_candidate_scoring_or_topology_depth_balance;rc_drv_aware_selection,l3_aligned_under_50ps,/home/liweiguo/project/ecc-tools-dev/.trellis/tasks/06-13-commercial-cts-capability-align/runs/l3_native_ground_coupling_full_detail/openroad__ethmac/cts_baseline/cts/ecc-tools/ethmac,true,true,true,4,0.1500 pF,adaptive_front_midpoint,same_shape_use_delay_midpoint_power,243,9,9,9,5,0.325708,0.001902,4,failed:1;feasible:2;selected:1,3,1,9,11,219,447,0.3257,1.902,"htree_load_group_node_395 anchor=(85735,323938) fanout_violation load_count=20, max_fanout=4, split=infeasible",20,4,16,4,395,9,4,9,75448,1129,1129,3/9,512,0.0054,0.0204,0.0107,0.0123,BUFX20H7L,false,1.40187,load_count (local buffer),2505,455.350 x 452.200 um,453.772,453.775,2505,0.22,47.04,7.73,7.22,top_segment,finished,292.428,0.0044,0.15,44547,0,0,0,10017,10017,10017,2505,3.999,3:3;4:2502;elapsed_time:0,2505,10017,3.999,3:3;4:2502;elapsed_time:1,2505,0,0,1,2,2505,2505,44547,0,false,10512901,pareto_median,0,3.9988,0,2,-1,2.21878,false
openroad__fifo,0.026,0.047,-0.021,0.553191,0.245,0.1735,0.0715,1.4121,-0.019,2,1,-1,21,1.76471,0.851505,1.14146,1.36955,0.910256,1.07038,0.23569,1.26,-1,ecc_latency_late,deeper_tree_or_stage_count;longer_or_heavier_source_trunk,ecc_skew_better,trunk_leaf_length_imbalance;trunk_leaf_cap_imbalance,tree_level_candidate_scoring_or_topology_depth_balance;source_trunk_buffering_or_sizing;rc_drv_aware_selection,l3_aligned_under_50ps,/home/liweiguo/project/ecc-tools-dev/.trellis/tasks/06-13-commercial-cts-capability-align/runs/l3_native_ground_coupling_full_detail/openroad__fifo/cts_baseline/cts/ecc-tools/fifo,true,true,true,4,0.1500 pF,adaptive_front_midpoint,same_shape_use_delay_midpoint_power,113,5,5,5,3,0.180293,0.000133,4,feasible:3;selected:1,4,0,5,8,32,69,0.1803,133.121,"htree_load_group_node_261 anchor=(127038,89069) fanout_violation load_count=19, max_fanout=4, split=infeasible",19,4,15,3,261,5,4,5,32994,111,111,2/5,32,0.0062,0.0177,0.0079,0.0071,BUFX20H7L,false,1.4557,load_count (local buffer),262,126.200 x 136.150 um,131.081,131.175,262,0.81,18.27,7.92,7.65,top_segment,finished,82.057,0.0044,0.15,19123,0,0,0,1048,1048,1048,262,4.000,4:262;elapsed_time:0,262,1048,4.000,4:262;elapsed_time:1,262,0,0,1,0,262,262,19123,0,false,2004088,pareto_median,0,4,0,0,1,2.36036,false
openroad__gcd,0.035,0.009,0.026,3.88889,0.113,0.0615,0.0515,1.8374,0.029,1,2,1,2,1.64823,1.07267,1.31244,1.45098,0.985507,1.19328,0.5714,1.77941,1,ecc_latency_late,deeper_tree_or_stage_count;longer_or_heavier_source_trunk;higher_clock_cap_load,ecc_skew_worse,latency_spread_larger;depth_or_stage_spread_larger;trunk_leaf_length_imbalance;trunk_leaf_cap_imbalance,tree_level_candidate_scoring_or_topology_depth_balance;source_trunk_buffering_or_sizing;rc_drv_aware_selection,l3_aligned_under_50ps,/home/liweiguo/project/ecc-tools-dev/.trellis/tasks/06-13-commercial-cts-capability-align/runs/l3_native_ground_coupling_full_detail/openroad__gcd/cts_baseline/cts/ecc-tools/gcd,true,true,true,4,0.1500 pF,adaptive_front_midpoint,same_shape_use_delay_midpoint_power,3,1,1,1,1,0.059501,1.7e-05,3,feasible:2;selected:1,3,0,1,3,1,3,0.0595,16.568,,,,,,,1,3,1,490,4,4,1/1,2,0.0078,0.0143,0.0111,0.0111,BUFX20H7L,false,0.585586,load_count (local buffer),9,22.500 x 23.332 um,22.912,22.916,9,1.27,14.92,7.77,7.77,top_segment,finished,39.768,0.0044,0.15,6281,0,0,0,34,34,34,9,3.778,3:2;4:7;elapsed_time:0,9,34,3.778,3:2;4:7;elapsed_time:1,9,0,0,1,1,9,9,6281,0,false,5,pareto_median,0,3.77778,0,-1,3,2.25,false
openroad__jpeg,0.064,0.048,0.016,1.33333,0.3405,0.3035,0.037,1.12191,0.019,0,1,1,8,1.58732,0.95443,1.19852,1.21676,0.935504,1.04381,0.26372,0.175,1,ecc_latency_late,deeper_tree_or_stage_count;longer_or_heavier_source_trunk,ecc_skew_worse,latency_spread_larger;depth_or_stage_spread_larger;trunk_leaf_length_imbalance;trunk_leaf_cap_imbalance,tree_level_candidate_scoring_or_topology_depth_balance;source_trunk_buffering_or_sizing;rc_drv_aware_selection,l3_aligned_under_50ps,/home/liweiguo/project/ecc-tools-dev/.trellis/tasks/06-13-commercial-cts-capability-align/runs/l3_native_ground_coupling_full_detail/openroad__jpeg/cts_baseline/cts/ecc-tools/jpeg_encoder,true,true,true,4,0.1500 pF,adaptive_front_midpoint,same_shape_use_delay_midpoint_power,20,8,8,8,4,0.279777,0.000976,4,failed:1;feasible:2;selected:1,3,1,8,10,53,108,0.2798,976.295,"htree_load_group_node_43 anchor=(116150,228596) fanout_violation load_count=18, max_fanout=4, split=infeasible",18,4,14,2,43,8,4,8,49945,448,448,2/8,256,0.0057,0.0236,0.0129,0.0134,BUFX20H7L,false,1.3876,load_count (local buffer),1132,383.150 x 367.500 um,375.243,375.325,1132,0.43,57.66,9.71,8.93,top_segment,finished,387.097,0.0044,0.15,35497,0,0,0,4522,4522,4522,1132,3.995,2:1;3:4;4:1127;elapsed_time:0,1132,4522,3.995,2:1;3:4;4:1127;elapsed_time:1,1132,1,0,1,3,1132,1132,35497,0,false,6707628,pareto_median,0,3.9947,1,2,-1,2.52679,false
openroad__spi,0.009,0.004,0.005,2.25,0.1035,0.06,0.0435,1.725,0.006,1,1,0,1,1.50192,0.992248,1.19753,1.125,1.04878,1.06757,-1.33333,1,0,ecc_latency_late,deeper_tree_or_stage_count;longer_or_heavier_source_trunk;distribution_issue_not_total_buffer_count,skew_near_innovus,skew delta is below the Phase 2 triage threshold,tree_level_candidate_scoring_or_topology_depth_balance;source_trunk_buffering_or_sizing;buffer_distribution_not_count_repair,l3_aligned_under_50ps,/home/liweiguo/project/ecc-tools-dev/.trellis/tasks/06-13-commercial-cts-capability-align/runs/l3_native_ground_coupling_full_detail/openroad__spi/cts_baseline/cts/ecc-tools/spi,true,true,true,4,0.1500 pF,adaptive_front_midpoint,same_shape_use_delay_midpoint_power,1,1,1,1,0,0.046557,8e-06,2,feasible:1;selected:1,2,0,1,2,1,2,0.0466,7.599,,,,,,,1,2,1,490,2,2,0/1,1,0.0068,0.0068,0.0068,0.0068,none,false,0,load_count (local buffer),7,12.769 x 16.100 um,14.338,14.434,7,4.73,8.56,6.91,7,top_segment,finished,30.246,0.002,0.15,3920,0,0,0,25,25,25,7,3.571,3:3;4:4;elapsed_time:0,7,25,3.571,3:3;4:4;elapsed_time:1,7,0,0,1,1,7,7,3920,0,false,5,pareto_median,0,3.57143,0,-1,2,3.5,false
openroad__uart,0.01,0.025,-0.015,0.4,0.145,0.0815,0.0635,1.77914,-0.012,2,1,-1,3,1.86345,0.884639,1.19512,1.4186,0.932099,1.09677,-0.20159,1.79618,-1,ecc_latency_late,deeper_tree_or_stage_count;longer_or_heavier_source_trunk,ecc_skew_better,trunk_leaf_length_imbalance;trunk_leaf_cap_imbalance,tree_level_candidate_scoring_or_topology_depth_balance;source_trunk_buffering_or_sizing;rc_drv_aware_selection,l3_aligned_under_50ps,/home/liweiguo/project/ecc-tools-dev/.trellis/tasks/06-13-commercial-cts-capability-align/runs/l3_native_ground_coupling_full_detail/openroad__uart/cts_baseline/cts/ecc-tools/uart,true,true,true,4,0.1500 pF,adaptive_shape_median,median_changes_depth_or_buffered_levels,41,1,2,1,1,0.080549,1.4e-05,4,feasible:3;selected:1,4,0,1,4,2,6,0.0805,13.667,"htree_load_group_node_0 anchor=(23950,31250) fanout_violation load_count=20, max_fanout=4, split=infeasible",20,4,16,4,0,1,4,1,1872,8,8,0/1,2,0.0116,0.0195,0.0156,0.0156,BUFX12H7L,false,0.50641,load_count (local buffer),20,31.250 x 35.350 um,33.237,33.3,20,2.44,16.95,7.79,7.73,top_segment,finished,49.665,0.003,0.15,9003,0,0,0,79,79,79,20,3.950,3:1;4:19;elapsed_time:0,20,79,3.950,3:1;4:19;elapsed_time:1,20,0,0,1,0,20,20,9003,0,false,24,pareto_median,0,3.95,0,-2,3,2.5,false
