case,summary_ecc_skew_max_ns,summary_innovus_skew_max_ns,skew_max_delta_ns,skew_max_ratio,summary_ecc_latency_avg_ns,summary_innovus_latency_avg_ns,latency_avg_delta_ns,latency_avg_ratio,latency_spread_delta_ns,tree_min_depth_delta,tree_max_depth_delta,tree_depth_span_delta,buffer_count_delta,trunk_wire_length_ratio,leaf_wire_length_ratio,total_wire_length_ratio,trunk_total_cap_ratio,leaf_total_cap_ratio,clock_total_cap_ratio,drive_avg_delta,timing_clock_stage_avg_delta,timing_clock_stage_spread_delta,latency_classification,latency_reasons,skew_classification,skew_reasons,repair_recommendation,l3_classification,ecc_tool_dir,cts_log_found,ecc_log_found,config_enable_sink_clustering,config_max_fanout,config_max_cap,htree_global_policy,htree_global_adaptive_reason,htree_global_front_size,htree_global_median_depth,htree_global_timing_depth,htree_global_selected_depth,htree_global_selected_buffered_levels,htree_global_selected_delay_ns,htree_global_selected_power_w,depth_candidate_rows,depth_status_histogram,depth_feasible_count,depth_failed_count,depth_min_reported,depth_max_reported,selected_depth_row_split_groups,selected_depth_row_split_buffers,selected_depth_row_split_local_depth,selected_depth_row_best_delay_ns,selected_depth_row_best_power_mw,first_monotone_hard_fail,first_hard_fail_load_count,first_hard_fail_max_fanout,first_hard_fail_loads_over_one_level,first_hard_fail_loads_over_two_level,first_hard_fail_node,htree_overview_levels,htree_overview_depth_candidates,htree_overview_selected_depth,htree_overview_final_frontier_count,htree_overview_inserted_insts,htree_overview_inserted_nets,htree_overview_selected_terminal_branch_buffered_levels,htree_overview_htree_load_group_count,htree_overview_htree_load_cap_min,htree_overview_htree_load_cap_max,htree_overview_htree_load_cap_mean,htree_overview_htree_load_cap_median,htree_overview_selected_root_driver_cell_master,htree_overview_used_boundary_relaxation,htree_load_cap_range_to_mean,topology_load_count_label,topology_load_count,topology_span_width_height,topology_sqrt_area_um,topology_half_perimeter_um,cluster_leaf_count,cluster_leaf_min_distance,cluster_leaf_max_distance,cluster_leaf_mean_distance,cluster_leaf_median_distance,source_trunk_stage,source_trunk_status,source_trunk_length_um,source_trunk_required_load_cap_pf,source_trunk_source_drive_pf,source_trunk_strict_candidates,source_trunk_relaxed_candidates,source_trunk_inserted_insts,source_trunk_inserted_nets,fast_cluster_input_loads,fast_cluster_valid_entries,fast_cluster_partition_entries,fast_cluster_partition_drafts,fast_cluster_partition_avg_fanout,fast_cluster_partition_fanout_histogram,fast_cluster_final_clusters,fast_cluster_final_assigned_loads,fast_cluster_final_avg_fanout,fast_cluster_final_fanout_histogram,fast_cluster_polish_active_clusters,fast_cluster_merge_attempted_clusters,fast_cluster_total_merges,fast_cluster_boundary_rounds,fast_cluster_boundary_moved_loads,prepare_htree_sinks,prepare_cluster_buffers,source_segment_strict_candidates_log,source_segment_relaxed_candidates_log,source_segment_used_boundary_relaxation,source_segment_selected_pattern_id,source_segment_policy,source_segment_selected_buffer_count,cluster_compression_ratio,cluster_count_minus_min_legal,htree_selected_depth_minus_innovus_max_depth,ecc_report_depth_minus_htree_selected_depth,cluster_buffers_to_htree_insts_ratio,source_segment_has_buffer
iwls2005__tv80,0.046,0.046,0,1,0.1735,0.148,0.0255,1.1723,0.002,1,1,0,8,1.61129,0.876223,1.15292,1.35861,0.904145,1.08016,2.4417,1.37,0,ecc_latency_late,deeper_tree_or_stage_count;longer_or_heavier_source_trunk;drive_strength_distribution_mismatch,skew_near_innovus,skew delta is below the Phase 2 triage threshold,tree_level_candidate_scoring_or_topology_depth_balance;source_trunk_buffering_or_sizing;drive_strength_distribution_adjustment,l3_aligned_under_50ps,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/adaptive_prefix_grid_23_cts/iwls2005__tv80/cts_baseline/cts/ecc-tools/tv80s,true,true,true,4,0.1500 pF,adaptive_physical_shape_median,timing_candidate_adds_physical_depth_or_buffer_count,139,,,3,3,0.134962,3.7e-05,3,feasible:2;selected:1,3,0,1,3,0,0,0,0.135,36.9,,,,,,,3,3,3,7260,38,38,2/3,64,0.002,0.0114,0.004,0.0028,BUFX20H7L,false,2.35,load_count (local buffer),90,106.950 x 108.500 um,107.722,107.725,90,0.61,28.5,8.81,7.61,top_segment,finished,102.455,0.0044,0.15,12310,0,0,0,359,359,359,90,3.989,3:1;4:89;elapsed_time:0,90,359,3.989,3:1;4:89;elapsed_time:1,90,0,0,1,0,90,90,12310,0,false,509150,pareto_median,0,3.98889,0,-1,2,2.36842,false
iwls2005__usb_funct,0.065,0.026,0.039,2.5,0.2995,0.136,0.1635,2.20221,0.043,2,2,0,-7,1.51569,1.48087,1.49983,1.24499,1.18686,1.21474,-0.21212,2,0,ecc_latency_late,deeper_tree_or_stage_count;longer_or_heavier_source_trunk;longer_or_heavier_leaf_branch;higher_clock_cap_load,ecc_skew_worse,latency_spread_larger,tree_level_candidate_scoring_or_topology_depth_balance;source_trunk_buffering_or_sizing;branch_buffering_or_sizing;rc_drv_aware_selection,l3_aligned_under_50ps,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/adaptive_prefix_grid_23_cts/iwls2005__usb_funct/cts_baseline/cts/ecc-tools/usbf_top,true,true,true,4,0.1500 pF,adaptive_physical_front_midpoint,same_shape_use_delay_midpoint_power,140,,,1,1,0.151403,2e-05,2,feasible:1;selected:1,2,0,1,2,4,15,1,0.1514,20.063,,,,,,,1,2,1,1804,19,19,1/1,4,0.0285,0.0467,0.035,0.0325,BUFX12H7L,false,0.52,load_count (local buffer),56,171.650 x 146.066 um,158.342,158.858,56,1.37,61.5,18.28,15.16,top_segment,finished,143.5,0.003,0.15,7330,0,1,1,222,222,222,56,3.964,3:2;4:54;elapsed_time:0,56,222,3.964,3:2;4:54;elapsed_time:1,56,0,0,1,2,56,56,7330,0,false,39585,pareto_median,1,3.96429,0,-2,4,2.94737,true
iwls2005__usb_phy,0.019,0.015,0.004,1.26667,0.137,0.1065,0.0305,1.28638,0.004,1,1,0,3,1.49877,0.924893,1.14511,1.20168,0.960674,1.05724,0.70977,1,0,ecc_latency_late,deeper_tree_or_stage_count;longer_or_heavier_source_trunk,skew_near_innovus,skew delta is below the Phase 2 triage threshold,tree_level_candidate_scoring_or_topology_depth_balance;source_trunk_buffering_or_sizing,l3_aligned_under_50ps,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/adaptive_prefix_grid_23_cts/iwls2005__usb_phy/cts_baseline/cts/ecc-tools/usb_phy,true,true,true,4,0.1500 pF,adaptive_physical_front_midpoint,same_shape_use_delay_midpoint_power,34,,,1,1,0.06937,1.3e-05,2,feasible:1;selected:1,2,0,1,2,4,8,1,0.0694,13.453,,,,,,,1,2,1,1881,12,12,0/1,4,0.0092,0.01,0.0096,0.0096,BUFX16H7L,false,0.0833333,load_count (local buffer),25,36.467 x 32.901 um,34.638,34.684,25,0.68,11.16,6.43,6.15,top_segment,finished,49.295,0.0033,0.15,9210,0,0,0,98,98,98,25,3.920,3:2;4:23;elapsed_time:0,25,98,3.920,3:2;4:23;elapsed_time:1,25,0,0,1,0,25,25,9210,0,false,252425,pareto_median,0,3.92,0,-2,3,2.08333,false
iwls2005__vga_lcd,0.104,0.069,0.035,1.50725,0.438,0.4635,-0.0255,0.944984,0.036,0,1,1,65,1.54352,0.88718,1.12295,1.19254,0.8684,0.986941,0.09162,0,0,latency_near_innovus,latency delta is below the Phase 2 triage threshold,ecc_skew_worse,latency_spread_larger;depth_or_stage_spread_larger;trunk_leaf_length_imbalance;trunk_leaf_cap_imbalance,tree_level_candidate_scoring_or_topology_depth_balance;rc_drv_aware_selection,cumulative_arrival_gap,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/adaptive_prefix_grid_23_cts/iwls2005__vga_lcd/cts_baseline/cts/ecc-tools/vga_enh_top,true,true,true,4,0.1500 pF,adaptive_physical_shape_median,timing_candidate_adds_physical_depth_or_buffer_count,583,,,3,3,0.23302,0.00011,6,feasible:5;selected:1,6,0,1,6,64,1524,3,0.233,109.827,,,,,,,3,6,3,31369,1608,1608,1/3,64,0.0224,0.1044,0.0336,0.0294,BUFX20H7L,false,2.44048,load_count (local buffer),4226,568.400 x 586.250 um,577.256,577.325,4226,0.12,36.77,7.96,7.78,top_segment,finished,506.74,0.0044,0.15,40112,0,0,0,16901,16901,16901,4226,3.999,3:3;4:4223;elapsed_time:0,4226,16901,3.999,3:3;4:4223;elapsed_time:1,4226,0,0,1,2,4226,4226,40112,0,false,35563695,pareto_median,0,3.99929,0,-4,5,2.62811,false
iwls2005__wb_conmax,0.098,0.036,0.062,2.72222,0.358,0.29,0.068,1.23448,0.063,1,1,0,6,1.58117,0.885257,1.16015,1.29828,0.828031,1.01262,0.27276,1,0,ecc_latency_late,deeper_tree_or_stage_count;longer_or_heavier_source_trunk,ecc_skew_worse,latency_spread_larger;trunk_leaf_length_imbalance;trunk_leaf_cap_imbalance,tree_level_candidate_scoring_or_topology_depth_balance;source_trunk_buffering_or_sizing;rc_drv_aware_selection,cumulative_arrival_gap,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/adaptive_prefix_grid_23_cts/iwls2005__wb_conmax/cts_baseline/cts/ecc-tools/wb_conmax_top,true,true,true,4,0.1500 pF,adaptive_physical_shape_median,timing_candidate_adds_physical_depth_or_buffer_count,115,,,2,2,0.132039,2.6e-05,3,feasible:2;selected:1,3,0,1,3,16,55,1,0.132,26.418,,,,,,,2,3,2,2595,75,75,1/2,16,0.012,0.0262,0.0192,0.0197,BUFX16H7L,false,0.739583,load_count (local buffer),194,250.009 x 167.651 um,204.73,208.83,194,1.3,36.28,9.95,9.1,top_segment,finished,256.192,0.0033,0.15,10742,0,1,1,770,770,770,194,3.969,2:1;3:4;4:189;elapsed_time:0,194,770,3.969,2:1;3:4;4:189;elapsed_time:1,194,1,0,1,2,194,194,10742,0,false,117890,pareto_median,1,3.96907,1,-3,4,2.58667,true
iwls2005__wb_dma,0.026,0.03,-0.004,0.866667,0.2,0.1575,0.0425,1.26984,-0.003,1,1,0,14,1.6297,0.828496,1.09818,1.32841,0.915419,1.05906,0.3799,1,0,ecc_latency_late,deeper_tree_or_stage_count;longer_or_heavier_source_trunk,skew_near_innovus,skew delta is below the Phase 2 triage threshold,tree_level_candidate_scoring_or_topology_depth_balance;source_trunk_buffering_or_sizing,l3_aligned_under_50ps,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/adaptive_prefix_grid_23_cts/iwls2005__wb_dma/cts_baseline/cts/ecc-tools/wb_dma_top,true,true,true,4,0.1500 pF,adaptive_physical_shape_median,timing_candidate_adds_physical_depth_or_buffer_count,98,,,2,2,0.105798,2.4e-05,3,feasible:2;selected:1,3,0,1,3,16,38,1,0.1058,23.549,,,,,,,2,3,2,2560,58,58,1/2,16,0.0065,0.0117,0.0089,0.0084,BUFX20H7L,false,0.58427,load_count (local buffer),131,98.400 x 95.550 um,96.965,96.975,131,0,16.47,7.53,7.28,top_segment,finished,118.753,0.0044,0.15,9020,0,0,0,523,523,523,131,3.992,3:1;4:130;elapsed_time:0,131,523,3.992,3:1;4:130;elapsed_time:1,131,0,0,1,0,131,131,9020,0,false,112732,pareto_median,0,3.99237,0,-2,3,2.25862,false
openroad__dynamic_node,0.054,0.044,0.01,1.22727,0.3735,0.24,0.1335,1.55625,0.012,2,2,0,55,1.56839,0.883455,1.13243,1.2175,0.885799,1.00742,-0.15298,2,0,ecc_latency_late,deeper_tree_or_stage_count;longer_or_heavier_source_trunk,ecc_skew_worse,latency_spread_larger;trunk_leaf_length_imbalance;trunk_leaf_cap_imbalance,tree_level_candidate_scoring_or_topology_depth_balance;source_trunk_buffering_or_sizing;rc_drv_aware_selection,l3_aligned_under_50ps,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/adaptive_prefix_grid_23_cts/openroad__dynamic_node/cts_baseline/cts/ecc-tools/dynamic_node_top,true,true,true,4,0.1500 pF,adaptive_physical_shape_median,timing_candidate_adds_physical_depth_or_buffer_count,265,,,2,2,0.158324,2.4e-05,4,feasible:3;selected:1,4,0,1,4,16,230,2,0.1583,23.675,,,,,,,2,4,2,9302,250,250,1/2,16,0.0186,0.0242,0.021,0.0211,BUFX12H7L,false,0.266667,load_count (local buffer),570,226.500 x 219.451 um,222.948,222.976,570,0.7,28.49,8.26,8.16,top_segment,finished,240.722,0.003,0.15,19730,0,1,1,2280,2280,2280,570,4.000,4:570;elapsed_time:0,570,2280,4.000,4:570;elapsed_time:1,570,0,0,1,0,570,570,19730,0,false,2452900,pareto_median,1,4,0,-3,5,2.28,true
openroad__ethmac,0.097,0.057,0.04,1.70175,0.3755,0.4035,-0.028,0.930607,0.038,-1,0,1,160,1.57566,0.901432,1.14258,1.22798,0.89004,1.01346,-0.08909,-0.025,1,latency_near_innovus,latency delta is below the Phase 2 triage threshold,ecc_skew_worse,latency_spread_larger;depth_or_stage_spread_larger;trunk_leaf_length_imbalance;trunk_leaf_cap_imbalance,tree_level_candidate_scoring_or_topology_depth_balance;rc_drv_aware_selection,l3_aligned_under_50ps,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/adaptive_prefix_grid_23_cts/openroad__ethmac/cts_baseline/cts/ecc-tools/ethmac,true,true,true,4,0.1500 pF,adaptive_physical_shape_median,timing_candidate_adds_physical_depth_or_buffer_count,470,,,3,3,0.1995,6.1e-05,5,feasible:4;selected:1,5,0,1,5,64,969,2,0.1995,60.924,,,,,,,3,5,3,9315,1053,1053,1/3,64,0.0193,0.0426,0.0224,0.0215,BUFX20H7L,false,1.04018,load_count (local buffer),2505,455.350 x 452.200 um,453.772,453.775,2505,0.17,39.84,7.73,7.61,top_segment,finished,292.428,0.0044,0.15,16660,0,0,0,10017,10017,10017,2505,3.999,3:3;4:2502;elapsed_time:0,2505,10017,3.999,3:3;4:2502;elapsed_time:1,2505,0,0,1,2,2505,2505,16660,0,false,169911,pareto_median,0,3.9988,0,-4,4,2.37892,false
openroad__fifo,0.055,0.047,0.008,1.17021,0.2595,0.1735,0.086,1.49568,0.012,1,1,0,6,1.70147,0.855325,1.12399,1.2592,0.923535,1.04026,-0.37394,0.32,0,ecc_latency_late,deeper_tree_or_stage_count;longer_or_heavier_source_trunk,ecc_skew_worse,latency_spread_larger;trunk_leaf_length_imbalance;trunk_leaf_cap_imbalance,tree_level_candidate_scoring_or_topology_depth_balance;source_trunk_buffering_or_sizing;rc_drv_aware_selection,l3_aligned_under_50ps,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/adaptive_prefix_grid_23_cts/openroad__fifo/cts_baseline/cts/ecc-tools/fifo,true,true,true,4,0.1500 pF,adaptive_physical_shape_median,timing_candidate_adds_physical_depth_or_buffer_count,148,,,2,2,0.159742,1.9e-05,4,feasible:3;selected:1,4,0,1,4,16,76,2,0.1597,19.452,,,,,,,2,4,2,9414,96,96,1/2,16,0.0144,0.0251,0.0178,0.0175,BUFX8H7L,false,0.601124,load_count (local buffer),262,126.200 x 136.150 um,131.081,131.175,262,0.55,23.1,8.56,8.22,top_segment,finished,82.057,0.002,0.15,12019,0,0,0,1048,1048,1048,262,4.000,4:262;elapsed_time:0,262,1048,4.000,4:262;elapsed_time:1,262,0,0,1,0,262,262,12019,0,false,271280,pareto_median,0,4,0,-3,4,2.72917,false
openroad__gcd,0.007,0.009,-0.002,0.777778,0.118,0.0615,0.0565,1.9187,0.003,1,1,0,1,1.60841,1.109,1.31705,1.17647,1.04348,1.10924,-2,1,0,ecc_latency_late,deeper_tree_or_stage_count;longer_or_heavier_source_trunk;higher_clock_cap_load;drive_strength_distribution_mismatch;distribution_issue_not_total_buffer_count,skew_near_innovus,skew delta is below the Phase 2 triage threshold,tree_level_candidate_scoring_or_topology_depth_balance;source_trunk_buffering_or_sizing;drive_strength_distribution_adjustment;rc_drv_aware_selection;buffer_distribution_not_count_repair,l3_aligned_under_50ps,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/adaptive_prefix_grid_23_cts/openroad__gcd/cts_baseline/cts/ecc-tools/gcd,true,true,true,4,0.1500 pF,adaptive_physical_front_midpoint,same_shape_use_delay_midpoint_power,1,,,1,0,0.060502,8e-06,1,selected:1,1,0,1,1,1,3,1,0.0605,7.758,,,,,,,1,1,1,490,3,3,0/1,1,0.0113,0.0113,0.0113,0.0113,none,false,0,load_count (local buffer),9,22.500 x 23.332 um,22.912,22.916,9,1.91,13,9.3,11.1,top_segment,finished,39.768,0.002,0.15,3730,0,0,0,34,34,34,9,3.778,3:2;4:7;elapsed_time:0,9,34,3.778,3:2;4:7;elapsed_time:1,9,0,0,1,1,9,9,3730,0,false,2443,pareto_median,0,3.77778,0,-1,2,3,false
openroad__jpeg,0.069,0.048,0.021,1.4375,0.4435,0.3035,0.14,1.46129,0.026,2,3,1,30,1.62353,0.957609,1.21443,1.26693,0.945147,1.06906,0.04526,2.265,1,ecc_latency_late,deeper_tree_or_stage_count;longer_or_heavier_source_trunk,ecc_skew_worse,latency_spread_larger;depth_or_stage_spread_larger;trunk_leaf_length_imbalance;trunk_leaf_cap_imbalance,tree_level_candidate_scoring_or_topology_depth_balance;source_trunk_buffering_or_sizing;rc_drv_aware_selection,l3_aligned_under_50ps,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/adaptive_prefix_grid_23_cts/openroad__jpeg/cts_baseline/cts/ecc-tools/jpeg_encoder,true,true,true,4,0.1500 pF,adaptive_physical_shape_median,timing_candidate_adds_physical_depth_or_buffer_count,421,,,3,3,0.194878,5.6e-05,5,feasible:4;selected:1,5,0,1,5,64,384,2,0.1949,56.383,,,,,,,3,5,3,9208,468,468,1/3,64,0.0162,0.0416,0.0236,0.0217,BUFX16H7L,false,1.07627,load_count (local buffer),1132,383.150 x 367.500 um,375.243,375.325,1132,0.2,37.74,10.29,9.2,top_segment,finished,387.097,0.0033,0.15,25560,0,2,2,4522,4522,4522,1132,3.995,2:1;3:4;4:1127;elapsed_time:0,1132,4522,3.995,2:1;3:4;4:1127;elapsed_time:1,1132,1,0,1,3,1132,1132,25560,0,false,3196646,pareto_median,2,3.9947,1,-3,6,2.4188,true
openroad__spi,0.009,0.004,0.005,2.25,0.1035,0.06,0.0435,1.725,0.006,1,1,0,1,1.50192,0.992248,1.19753,1.125,1.04878,1.06757,-1.33333,1,0,ecc_latency_late,deeper_tree_or_stage_count;longer_or_heavier_source_trunk;distribution_issue_not_total_buffer_count,skew_near_innovus,skew delta is below the Phase 2 triage threshold,tree_level_candidate_scoring_or_topology_depth_balance;source_trunk_buffering_or_sizing;buffer_distribution_not_count_repair,l3_aligned_under_50ps,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/adaptive_prefix_grid_23_cts/openroad__spi/cts_baseline/cts/ecc-tools/spi,true,true,true,4,0.1500 pF,adaptive_physical_front_midpoint,same_shape_use_delay_midpoint_power,1,,,1,0,0.04653,8e-06,1,selected:1,1,0,1,1,1,2,1,0.0465,7.55,,,,,,,1,1,1,490,2,2,0/1,1,0.0068,0.0068,0.0068,0.0068,none,false,0,load_count (local buffer),7,12.769 x 16.100 um,14.338,14.434,7,4.73,8.56,6.91,7,top_segment,finished,30.246,0.002,0.15,6160,0,0,0,25,25,25,7,3.571,3:3;4:4;elapsed_time:0,7,25,3.571,3:3;4:4;elapsed_time:1,7,0,0,1,1,7,7,6160,0,false,27521,pareto_median,0,3.57143,0,-1,2,3.5,false
openroad__uart,0.04,0.025,0.015,1.6,0.1365,0.0815,0.055,1.67485,0.017,1,1,0,3,1.93541,0.888526,1.22059,1.51163,0.925926,1.12903,0.76393,1.31847,0,ecc_latency_late,deeper_tree_or_stage_count;longer_or_heavier_source_trunk;higher_clock_cap_load,ecc_skew_worse,latency_spread_larger;trunk_leaf_length_imbalance;trunk_leaf_cap_imbalance,tree_level_candidate_scoring_or_topology_depth_balance;source_trunk_buffering_or_sizing;rc_drv_aware_selection,l3_aligned_under_50ps,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/adaptive_prefix_grid_23_cts/openroad__uart/cts_baseline/cts/ecc-tools/uart,true,true,true,4,0.1500 pF,adaptive_physical_front_midpoint,same_shape_use_delay_midpoint_power,37,,,1,1,0.070793,1.3e-05,2,feasible:1;selected:1,2,0,1,2,2,4,1,0.0708,13.484,,,,,,,1,2,1,1881,8,8,1/1,4,0.0061,0.0146,0.0101,0.01,BUFX16H7L,false,0.841584,load_count (local buffer),20,31.250 x 35.350 um,33.237,33.3,20,0.82,16.95,7.44,7.44,top_segment,finished,49.665,0.0033,0.15,9210,0,0,0,79,79,79,20,3.950,3:1;4:19;elapsed_time:0,20,79,3.950,3:1;4:19;elapsed_time:1,20,0,0,1,0,20,20,9210,0,false,252425,pareto_median,0,3.95,0,-2,3,2.5,false
